meas,index,voice,loc,tick,sec,dur,rval,dots,sci_pitch,dmark,dlevel,status,d0,d1,bar,section,bpm,grace,pedal,dyn,even,tempo
1,0,0,0,0,0,,,,,,,,,,1,,,,,,,
1,1,0,0,0,0,,,,,,,,,,,5918,,,,,,
1,2,0,0,0,0,,,,,,,,,,,,84,,,,,
1,3,0,0,0,0,,,,,,,,,,,,84,,,,,
1,5,1,0,,0,0.05,8,,F4,p,11,144,65,11,,,,g,,d,e,
1,4,0,1,0,0,,,,,,,176,64,127,,,,,V,,,
1,5,1,0,,0.05,,,,,,,144,65,0,,,,,,,,
1,6,1,2,,0.075,0.05,8,,D#4,mp,14,144,63,14,,,,g,,,e,
1,6,1,2,,0.125,,,,,,,144,63,0,,,,,,,,
1,7,1,3,,0.15,0.05,8,,A2,mf-,16,144,45,16,,,,g,,,e,
1,7,1,3,,0.2,,,,,,,144,45,0,,,,,,,,
1,8,1,4,,0.225,0.05,8,,F#1,f-,19,144,30,19,,,,g,,,e,
1,8,1,4,,0.275,,,,,,,144,30,0,,,,,,,,
1,9,1,5,,0.3,0.05,8,,C#2,f+,21,144,37,21,,,,g,,,e,
1,9,1,5,,0.35,,,,,,,144,37,0,,,,,,,,
1,10,1,6,,0.375,0.05,8,,F4,fff,24,144,65,24,,,,g,,d,e,
1,10,1,6,,0.425,,,,,,,144,65,0,,,,,,,,
1,11,1,7,0,0.45,1.42857142857143,1,,D#6,ff,22,144,87,22,,,,,,d,e,
1,12,3,8,0,0.45,1.42857142857143,1,,C2,f,20,144,36,20,,,,,,d,E,
1,13,3,9,0,0.45,1.42857142857143,1,,A#2,pp,8,144,46,8,,,,,,d 5919,E 5919,
1,14,1,10,1024,1.879,,,,<R>,,,176,102,0,,,,,,,,
1,15,3,11,1024,1.879,2.14285714285714,1,,C2,,,,,,,,,,,,,
1,16,3,12,1024,1.879,1.42857142857143,1,,A#2,,,,,,,,,,,,,
1,11,1,7,0,2.329,,,,,,,144,87,0,,,,,,,,
1,17,1,13,1536,2.593,,,,<R>,,,176,102,0,,,,,,,,
1,13,3,9,0,3.757,,,,,,,144,46,0,,,,,,,,
2,0,0,14,0,4.021,,,,,,,,,,2,,,,,,,
2,1,1,15,0,4.021,2.85714285714286,0.5,,C#6,pp,8,144,85,8,,,,,,,,
2,2,3,16,0,4.021,,,,<R>,,,176,102,0,,,,,,,,
1,12,3,8,0,4.471,,,,,,,144,36,0,,,,,,,,
2,1,1,15,0,6.879,,,,,,,144,85,0,,,,,,,,
2,3,1,17,2048,6.879,2.85714285714286,0.5,,E7,f,20,144,100,20,,,,,,,,
2,3,1,17,2048,9.736,,,,,,,144,100,0,,,,,,,,
3,0,0,18,0,9.736,,,,,,,,,,3,,,,,,,
3,1,1,19,0,9.736,,,,<R>,,,176,102,0,,,,,,,,
3,2,3,20,0,9.736,,,,<R>,,,176,102,0,,,,,,,,
4,0,0,21,0,13.307,,,,,,,,,,4,,,,,,,
4,1,1,22,0,13.307,0.357142857142857,4,,G#5,ff,22,144,80,22,,,,,,,,
4,2,3,23,0,13.307,,,,<R>,,,176,102,0,,,,,,,,
4,1,1,22,0,13.664,,,,,,,144,80,0,,,,,,,,
4,3,1,24,256,13.664,2.85714285714286,0.5,,A6,ff+,23,144,93,23,,,,,,,,
4,3,1,24,256,16.296,,,,,,,144,93,0,,,,,,,,
4,4,1,25,,16.296,0.05,8,,A6,ff+,23,144,93,23,,,,g,,,,
4,5,1,26,,16.371,0.05,8,,C2,ff+,23,144,36,23,,,,g,,,,
4,5,1,26,,16.421,,,,,,,144,36,0,,,,,,,,
4,6,1,27,,16.446,0.05,8,,F#4,ff+,23,144,66,23,,,,g,,,,
4,6,1,27,,16.496,,,,,,,144,66,0,,,,,,,,
4,4,1,25,,16.521,,,,,,,144,93,0,,,,,,,,
4,7,1,28,2304,16.521,0.357142857142857,4,,F#4,ff,22,144,66,22,,,,,,,,
4,7,1,28,2304,16.879,,,,,,,144,66,0,,,,,,,,
5,0,0,29,0,16.879,,,,,,,,,,5,,,,,,,
5,1,1,30,0,16.879,2.67857142857143,1,,E7,f,20,144,100,20,,,,,,,,
5,2,3,31,0,16.879,,,,<R>,,,176,102,0,,,,,,,,
5,1,1,30,0,19.557,,,,,,,144,100,0,,,,,,,,
5,3,1,32,1920,19.557,0.178571428571429,8,,G#6,p,11,144,92,11,,,,,,,,
5,4,3,33,1920,19.557,0.178571428571429,8,,A2,pp,8,144,45,8,,,,,,,,
5,3,1,32,1920,19.736,,,,,,,144,92,0,,,,,,,,
6,0,0,34,0,19.736,,,,,,,,,,6,,,,,,,
6,1,1,35,0,19.736,,,,<R>,,,176,102,0,,,,,,,,
6,2,3,36,0,19.736,0.714285714285714,2,,A2,,,,,,,,,,,,,
6,3,1,37,192,20.004,0.0892857142857143,16,,G5,p,11,144,79,11,,,,,,,,
6,4,1,38,256,20.093,0.357142857142857,4,,G5,,,,,,,,,,,,,
5,4,3,33,1920,20.45,,,,,,,144,45,0,,,,,,,,
6,5,1,39,512,20.45,2.85714285714286,0.5,,G5,,,,,,,,,,,,,
6,6,3,40,512,20.45,2.85714285714286,0.5,,A#2,pp,8,144,46,8,,,,,,,,
6,7,1,41,,22.857,0.05,8,,C2,p,11,144,36,11,,,,g,,,e,
6,7,1,41,,22.907,,,,,,,144,36,0,,,,,,,,
6,8,1,42,,22.932,0.05,8,,A5,mp-,13,144,81,13,,,,g,,,e,
6,8,1,42,,22.982,,,,,,,144,81,0,,,,,,,,
6,9,1,43,,23.007,0.05,8,,E6,mp+,15,144,88,15,,,,g,,,e,
6,9,1,43,,23.057,,,,,,,144,88,0,,,,,,,,
6,10,1,44,,23.082,0.05,8,,F#3,mf+,18,144,54,18,,,,g,,,e,
6,10,1,44,,23.132,,,,,,,144,54,0,,,,,,,,
6,11,1,45,,23.157,0.05,8,,G#5,f,20,144,80,20,,,,g,,,e,
6,11,1,45,,23.207,,,,,,,144,80,0,,,,,,,,
7,2,0,46,0,23.207,,,,,,,176,64,0,,,,,^,,,
6,12,1,47,,23.232,0.05,8,,A5,ff,22,144,81,22,,,,g,,,E,
6,12,1,47,,23.282,,,,,,,144,81,0,,,,,,,,
6,3,1,37,192,23.307,,,,,,,144,79,0,,,,,,,,
6,6,3,40,512,23.307,,,,,,,144,46,0,,,,,,,,
7,0,0,48,0,23.307,,,,,,,,,,7,,,,,,,
7,1,0,49,0,23.307,,,,,,,,,,,5919,,,,,,
7,9,1,50,0,23.307,2.85714285714286,0.5,,D3,ppp,5,144,50,5,,,,,,d,e,
7,10,1,51,0,23.307,2.85714285714286,0.5,,E3,ppp,5,144,52,5,,,,,,d,e,
7,11,3,52,0,23.307,4.28571428571429,0.5,,C1,ff,22,144,24,22,,,,,,d,E,
7,2,0,53,0,23.507,,,,,,,176,64,127,,,,,V,,,
7,12,1,54,2048,26.164,0.357142857142857,4,,D3,,,,,,,,,,,,,
7,13,1,55,2048,26.164,0.357142857142857,4,,E3,,,,,,,,,,,,,
7,16,0,56,2314,26.385,,,,,,,176,64,0,,,,,^,,,
7,9,1,50,0,26.521,,,,,,,144,50,0,,,,,,,,
7,10,1,51,0,26.521,,,,,,,144,52,0,,,,,,,,
7,14,1,57,2304,26.521,1.07142857142857,2,,C6,ppp,5,144,84,5,,,,,,,,
7,15,1,58,2304,26.521,0.714285714285714,2,,F6,ppp,5,144,89,5,,,,,,,,
7,16,0,59,2314,26.685,,,,,,,176,64,127,,,,,V,,,
7,15,1,58,2304,27.236,,,,,,,144,89,0,,,,,,,,
8,0,0,60,0,27.593,,,,,,,,,,8,,,,,,,
8,1,1,61,0,27.593,,,,<R>,,,176,102,0,,,,,,,,
8,2,3,62,0,27.593,4.28571428571429,0.5,,C1,,,,,,,,,,,,,
8,3,3,63,0,27.593,2.85714285714286,0.5,,A3,p,11,144,57,11,,,,,,,,
7,14,1,57,2304,27.593,,,,,,,144,84,0,,,,,,,,
8,4,0,64,42,27.651,,,,,,,176,64,0,,,,,^,,,
8,6,1,65,341,28.069,0.238560267857143,4,,C#6,ppp,5,144,85,5,,,,,,,,
8,5,0,66,341,28.069,,,,,,,176,64,127,,,,,V,,,
8,7,1,67,512,28.307,0.714285714285714,2,,C#6,,,,,,,,,,,,,
8,6,1,65,341,29.021,,,,,,,144,85,0,,,,,,,,
8,8,1,68,1024,29.021,,,,<R>,,,176,102,0,,,,,,,,
8,9,1,69,1280,29.379,0.357142857142857,4,,G#2,p,11,144,44,11,,,,,,,,
8,9,1,69,1280,29.736,,,,,,,144,44,0,,,,,,,,
8,10,1,70,1536,29.736,0.475725446428571,2,,A#3,pp+,9,144,58,9,,,,,,,,
8,11,1,71,1877,30.211,0.118582589285714,8,,A#3,,,,,,,,,,,,,
8,10,1,70,1536,30.33,,,,,,,144,58,0,,,,,,,,
8,12,1,72,1962,30.33,0.0599888392857143,16,,C#7,ppp,5,144,97,5,,,,,,,,
8,12,1,72,1962,30.39,,,,,,,144,97,0,,,,,,,,
8,13,1,73,2005,30.39,0.0599888392857143,16,,A#2,ppp,5,144,46,5,,,,,,,,
8,13,1,73,2005,30.45,,,,,,,144,46,0,,,,,,,,
8,14,1,74,2048,30.45,0.475725446428571,2,,E2,ppp+,6,144,40,6,,,,,,,,
8,14,1,74,2048,30.926,,,,,,,144,40,0,,,,,,,,
8,15,1,75,2389,30.926,0.475725446428571,2,,C#6,pp,8,144,85,8,,,,,,,,
8,15,1,75,2389,31.401,,,,,,,144,85,0,,,,,,,,
8,16,1,76,2730,31.401,0.477120535714286,2,,C5,ppp,5,144,72,5,,,,,,,,
8,16,1,76,2730,31.879,,,,,,,144,72,0,,,,,,,,
9,0,0,77,0,31.879,,,,,,,,,,9,,,,,,,
9,1,0,78,0,31.879,,,,,,,176,64,0,,,,,^,,,
9,2,1,79,0,31.879,,,,<R>,,,176,102,0,,,,,,,,
9,3,3,80,0,31.879,1.42857142857143,1,,C1,,,,,,,,,,,,,
9,4,3,81,0,31.879,1.42857142857143,1,,A3,,,,,,,,,,,,,
9,5,0,82,588,32.699,,,,,,,176,64,127,,,,,V,,,
9,6,3,83,1024,33.307,1.42857142857143,1,,C1,,,,,,,,,,,,,
9,7,3,84,1024,33.307,1.42857142857143,1,,G#1,ppp,5,144,32,5,,,,,,,,
9,8,3,85,1024,33.307,1.42857142857143,1,,A3,,,,,,,,,,,,,
8,3,3,63,0,34.021,,,,,,,144,57,0,,,,,,,,
9,10,1,86,,34.286,0.05,8,,E3,p,11,144,52,11,,,,g,,,e,
9,10,1,86,,34.336,,,,,,,144,52,0,,,,,,,,
9,11,1,87,,34.361,0.05,8,,A#3,p+,12,144,58,12,,,,g,,,e,
9,11,1,87,,34.411,,,,,,,144,58,0,,,,,,,,
9,12,1,88,,34.436,0.05,8,,C6,p+,12,144,84,12,,,,g,,,e,
9,12,1,88,,34.486,,,,,,,144,84,0,,,,,,,,
9,13,1,89,,34.511,0.05,8,,C#7,mp-,13,144,97,13,,,,g,,,e,
9,9,0,90,1889,34.514,,,,,,,176,64,0,,,,,^,,,
9,13,1,89,,34.561,,,,,,,144,97,0,,,,,,,,
9,14,1,91,,34.586,0.05,8,,G#2,mp-,13,144,44,13,,,,g,,,e,
9,14,1,91,,34.636,,,,,,,144,44,0,,,,,,,,
9,15,1,92,,34.661,0.05,8,,A#4,mp,14,144,70,14,,,,g,,,e,
9,15,1,92,,34.711,,,,,,,144,70,0,,,,,,,,
9,16,1,93,2048,34.736,0.714285714285714,2,,E4,mp,14,144,64,14,,,,,,,E,
9,17,3,94,2048,34.736,0.714285714285714,2,,C1,,,,,,,,,,,,,
9,18,3,95,2048,34.736,0.714285714285714,2,,G#1,,,,,,,,,,,,,
9,19,3,96,2048,34.736,0.714285714285714,2,,A3,,,,,,,,,,,,,
7,11,3,52,0,35.45,,,,,,,144,24,0,,,,,,,,
9,20,1,97,2560,35.45,0.714285714285714,2,,E4,,,,,,,,,,,,,
9,21,1,98,2560,35.45,0.714285714285714,2,,E5,ff,22,144,76,22,,,,,,,,
9,22,3,99,2560,35.45,0,8,,A3,,,,,,,,,,,,,
9,23,3,100,2560,35.45,0.714285714285714,2,,A3,ff,22,144,57,22,,,,,,,,
9,7,3,84,1024,35.45,,,,,,,144,32,0,,,,,,,,
9,21,1,98,2560,36.164,,,,,,,144,76,0,,,,,,,,
9,23,3,100,2560,36.164,,,,,,,144,57,0,,,,,,,,
10,0,0,101,0,36.164,,,,,,,,,,10,,,,,,,
10,1,1,102,0,36.164,2.14285714285714,1,,E4,,,,,,,,,,,,,
10,2,1,103,0,36.164,1.42857142857143,1,,G#4,ff,22,144,68,22,,,,,,,,
10,3,3,104,0,36.164,0.535714285714286,4,,C#2,ppp,5,144,37,5,,,,,,,,
10,3,3,104,0,36.7,,,,,,,144,37,0,,,,,,,,
10,4,3,105,384,36.7,0.535714285714286,4,,B1,ppp,5,144,35,5,,,,,,,,
10,4,3,105,384,37.236,,,,,,,144,35,0,,,,,,,,
10,6,3,106,768,37.236,1.07142857142857,2,,A4,f,20,144,69,20,,,,,,,,
10,5,0,107,768,37.236,,,,,,,176,64,127,,,,,V,,,
10,6,3,106,768,37.286,,,,,,,144,69,0,,,,,,,,
10,2,1,103,0,37.593,,,,,,,144,68,0,,,,,,,,
10,7,1,108,1536,38.307,,,,<R>,,,176,102,0,,,,,,,,
10,8,3,109,1536,38.307,,,,<R>,,,176,102,0,,,,,,,,
10,10,0,111,1680,38.435,,,,,,,176,64,0,,,,,^,,,
10,,,112,1790,38.735,,,,,,,176,64,127,,,,,V,,,
9,16,1,93,2048,39.914,,,,,,,144,64,0,,,,,,,,
10,11,1,113,,40.45,0.05,8,,C#2,f,20,144,37,20,,,,g,,,e,
10,12,1,114,,40.45,0.05,8,,F#2,f,20,144,42,20,,,,g,,,e,
10,13,1,115,,40.45,0.05,8,,E4,f,20,144,64,20,,,,g,,,e,
10,11,1,113,,40.5,,,,,,,144,37,0,,,,,,,,
10,12,1,114,,40.5,,,,,,,144,42,0,,,,,,,,
10,13,1,115,,40.5,,,,,,,144,64,0,,,,,,,,
10,14,1,116,,40.525,0.05,8,,D3,f,20,144,50,20,,,,g,,,e,
10,15,1,117,,40.525,0.05,8,,F5,f,20,144,77,20,,,,g,,,e,
10,14,1,116,,40.575,,,,,,,144,50,0,,,,,,,,
10,15,1,117,,40.575,,,,,,,144,77,0,,,,,,,,
10,16,1,118,,40.6,0.05,8,,A4,f,20,144,69,20,,,,g,,,e,
10,16,1,118,,40.65,,,,,,,144,69,0,,,,,,,,
10,17,1,119,,40.675,0.05,8,,A2,f,20,144,45,20,,,,g,,,e,
10,18,1,120,,40.675,0.05,8,,C#3,f,20,144,49,20,,,,g,,,e,
10,19,1,121,,40.675,0.05,8,,F7,f,20,144,101,20,,,,g,,,e,
10,17,1,119,,40.725,,,,,,,144,45,0,,,,,,,,
10,18,1,120,,40.725,,,,,,,144,49,0,,,,,,,,
10,19,1,121,,40.725,,,,,,,144,101,0,,,,,,,,
10,20,1,122,,40.75,0.05,8,,F4,f,20,144,65,20,,,,g,,,e,
10,20,1,122,,40.8,,,,,,,144,65,0,,,,,,,,
10,21,1,123,,40.825,0.05,8,,G7,f,20,144,103,20,,,,g,,,e,
10,21,1,123,,40.875,,,,,,,144,103,0,,,,,,,,
10,,,124,3071,41.124,,,,,,,176,64,0,,,,,^,,,
11,0,0,125,0,41.275,,,,,,,,,,11,,,,,,,
11,2,1,126,0,41.275,2.85714285714286,0.5,,C7,mp,14,144,96,14,,,,,,,E,
11,3,3,127,0,41.275,,,,<R>,,,176,102,0,,,,,,,,
11,1,0,128,0,41.424,,,,,,,176,64,127,,,,,V,,,
11,4,0,129,1008,42.681,,,,,,,176,64,0,,,,,^,,,
11,6,1,130,,43.907,0.05,8,,A#2,mp,14,144,46,14,,,,g,,d,e,
11,6,1,130,,43.957,,,,,,,144,46,0,,,,,,,,
11,7,1,131,,43.982,0.05,8,,G#1,ppp,5,144,32,5,,,,g,,d,e,
11,7,1,131,,44.032,,,,,,,144,32,0,,,,,,,,
11,8,1,132,,44.057,0.05,8,,F4,mf,17,144,65,17,,,,g,,d,e,
11,8,1,132,,44.107,,,,,,,144,65,0,,,,,,,,
11,9,1,133,2048,44.132,2.14285714285714,1,,C#6,f,20,144,85,20,,,,,,d 5920,E 5920,
11,5,0,134,2048,44.132,,,,,,,176,64,127,,,,,V,,,
11,2,1,126,0,44.957,,,,,,,144,96,0,,,,,,,,
12,0,0,135,0,46.275,,,,,,,,,,12,,,,,,,
12,1,0,136,0,46.275,,,,,,,,,,,,116,,,,,
12,2,0,137,0,46.275,,,,,,,,,,,,116,,,,,
12,3,1,138,0,46.275,0.517241379310345,4,,C#6,,,,,,,,,,,,,
12,4,3,139,0,46.275,,,,<R>,,,176,102,0,,,,,,,,
12,5,1,140,,46.642,0.05,8,,G#5,ppp,5,144,80,5,,,,g,,,,
12,5,1,140,,46.692,,,,,,,144,80,0,,,,,,,,
12,6,1,141,,46.717,0.05,8,,D4,ppp,5,144,62,5,,,,g,,,,
12,6,1,141,,46.767,,,,,,,144,62,0,,,,,,,,
11,9,1,133,2048,46.792,,,,,,,144,85,0,,,,,,,,
12,7,1,142,256,46.792,0.193965517241379,16,,F#6,pp,8,144,90,8,,,,,,,,
12,8,3,143,256,46.792,,,,<R>,,,176,102,0,,,,,,,,
12,9,3,144,288,46.857,0.0646551724137931,32,,A2,pp,8,144,45,8,,,,,,,,
12,9,3,144,288,46.922,,,,,,,144,45,0,,,,,,,,
12,10,3,145,320,46.922,0.0646551724137931,32,,A3,pp,8,144,57,8,,,,,,,,
12,7,1,142,256,46.986,,,,,,,144,90,0,,,,,,,,
12,10,3,145,320,46.986,,,,,,,144,57,0,,,,,,,,
12,11,1,146,352,46.986,0.0646551724137931,32,,G7,ppp,5,144,103,5,,,,,,,,
12,12,3,147,352,46.986,0.0646551724137931,32,,D2,pp,8,144,38,8,,,,,,,,
12,11,1,146,352,47.051,,,,,,,144,103,0,,,,,,,,
12,12,3,147,352,47.051,,,,,,,144,38,0,,,,,,,,
12,13,1,148,384,47.051,,,,<R>,,,176,102,0,,,,,,,,
12,14,3,149,384,47.051,,,,<R>,,,176,102,0,,,,,,,,
12,15,0,150,384,47.051,,,,,,,,,,,5920,,,,,,
12,16,0,151,512,47.309,,,,,,,176,64,0,,,,,^,,,
12,17,1,152,512,47.309,0.171740301724138,8,,B3,pp,8,144,59,8,,,,,,,,
12,18,3,153,512,47.309,1.55172413793103,2,,A#2,pp,8,144,46,8,,,,,,,,
12,19,3,154,512,47.309,1.03448275862069,2,,E3,pp,8,144,52,8,,,,,,,,
12,17,1,152,512,47.481,,,,,,,144,59,0,,,,,,,,
12,20,1,155,597,47.481,,,,<R>,,,176,102,0,,,,,,,,
12,21,1,156,682,47.653,0.173760775862069,8,,F6,pp,8,144,89,8,,,,,,,e,t
12,22,1,157,682,47.653,0.258620689655172,8,,A#7,pp,8,144,106,8,,,,,,,e,t
12,21,1,156,682,47.827,,,,,,,144,89,0,,,,,,,,
12,23,1,158,768,47.827,0.171740301724138,8,,F#5,pp,8,144,78,8,,,,,,,e,t
12,22,1,157,682,47.912,,,,,,,144,106,0,,,,,,,,
12,23,1,158,768,47.998,,,,,,,144,78,0,,,,,,,,
12,24,1,159,853,47.998,0.171740301724138,8,,B2,pp,8,144,47,8,,,,,,,e,t
12,24,1,159,853,48.17,,,,,,,144,47,0,,,,,,,,
12,25,1,160,938,48.17,0.0868803879310345,16,,D#4,mp,14,144,63,14,,,,,,,e,t
12,26,1,161,938,48.17,0.129310344827586,16,,G#4,mp,14,144,68,14,,,,,,,e,t
12,25,1,160,938,48.257,,,,,,,144,63,0,,,,,,,,
12,27,1,162,981,48.257,0.0868803879310345,16,,F4,mp+,15,144,65,15,,,,,,,,
12,28,1,163,981,48.257,0.129310344827586,16,,G#4,,,,,,,,,,,,,
12,27,1,162,981,48.344,,,,,,,144,65,0,,,,,,,,
12,29,1,164,1024,48.344,0.171740301724138,8,,C#2,mf,17,144,37,17,,,,,,,e,t
12,30,1,165,1024,48.344,0.258620689655172,8,,A2,mf,17,144,45,17,,,,,,,e,t
12,31,1,166,1024,48.344,0.258620689655172,8,,C3,mf,17,144,48,17,,,,,,,e,t
12,26,1,161,938,48.429,,,,,,,144,68,0,,,,,,,,
12,29,1,164,1024,48.516,,,,,,,144,37,0,,,,,,,,
12,32,1,167,1109,48.516,0.0868803879310345,16,,B1,pp,8,144,35,8,,,,,,,e,t
12,32,1,167,1109,48.603,,,,,,,144,35,0,,,,,,,,
12,33,1,168,1152,48.603,0.0848599137931035,16,,D3,pp+,9,144,50,9,,,,,,,,
12,30,1,165,1024,48.603,,,,,,,144,45,0,,,,,,,,
12,31,1,166,1024,48.603,,,,,,,144,48,0,,,,,,,,
12,33,1,168,1152,48.687,,,,,,,144,50,0,,,,,,,,
12,34,1,169,1194,48.687,0.173760775862069,8,,A4,p,11,144,69,11,,,,,,,E 5921,t 5921
12,35,1,170,1280,48.861,0.343480603448276,4,,A4,,,,,,,,,,,,,
12,36,3,171,1280,48.861,0.343480603448276,4,,A#2,,,,,,,,,,,,,
12,37,3,172,1280,48.861,0.517241379310345,4,,E3,,,,,,,,,,,,,
12,19,3,154,512,48.861,,,,,,,144,52,0,,,,,,,,
12,34,1,169,1194,49.205,,,,,,,144,69,0,,,,,,,,
12,38,1,173,1450,49.205,0.0868803879310345,16,,A4,pp,8,144,69,8,,,,,,,,
12,39,1,174,1450,49.205,0.129310344827586,16,,C#5,pp,8,144,73,8,,,,,,,,
12,40,3,175,1450,49.205,0.173760775862069,8,,C#3,mp,14,144,49,14,,,,,,,,
12,18,3,153,512,49.205,,,,,,,144,46,0,,,,,,,,
12,38,1,173,1450,49.292,,,,,,,144,69,0,,,,,,,,
12,41,1,176,1493,49.292,0.0868803879310345,16,,F#3,pp,8,144,54,8,,,,,,,,
12,42,1,177,1493,49.292,0.129310344827586,16,,C#5,,,,,,,,,,,,,
