opcode,meas,index,voice,loc,eloc,oloc,tick,sec,dur,rval,dots,sci_pitch,dmark,dlevel,status,d0,d1,bar,section,bpm,grace,tie,onset,pedal,dyn,even,tempo,src,eid
bar,1,0,0,0,0,,0,0.0,,,,,,,,,,1,,,,,,,,,,gutim,0
sec,1,1,0,0,0,,0,0.0,,,,,,,,,,,5918,,,,,,,,,gutim,1
bpm,1,2,0,0,0,,0,0.0,,1,,,,,,,,,,84,,,,,,,,gutim,2
bpm,1,3,0,0,0,,0,0.0,,1,,,,,,,,,,84,,,,,,,,gutim,3
non,1,5,1,0,0,0,,0.0,0.05,8,0,F4,p,11,144,65,11,,,,g,,o,,d,e,,gutim,4
ped,1,4,0,1,1,,0,0.0,,,,,,,176,64,127,,,,,,,V,,,,gutim,5
nof,1,5,1,0,2,,,0.05,,,,,,,144,65,0,,,,,,,,,,,gutim,4
non,1,6,1,2,3,1,,0.075,0.05,8,0,Eb4,mp,14,144,63,14,,,,g,,o,,,e,,gutim,6
nof,1,6,1,2,4,,,0.125,,,,,,,144,63,0,,,,,,,,,,,gutim,6
non,1,7,1,3,5,2,,0.15,0.05,8,0,A2,mf-,16,144,45,16,,,,g,,o,,,e,,gutim,7
nof,1,7,1,3,6,,,0.2,,,,,,,144,45,0,,,,,,,,,,,gutim,7
non,1,8,1,4,7,3,,0.225,0.05,8,0,F#1,f-,19,144,30,19,,,,g,,o,,,e,,gutim,8
nof,1,8,1,4,8,,,0.275,,,,,,,144,30,0,,,,,,,,,,,gutim,8
non,1,9,1,5,9,4,,0.3,0.05,8,0,C#2,f+,21,144,37,21,,,,g,,o,,,e,,gutim,9
nof,1,9,1,5,10,,,0.35,,,,,,,144,37,0,,,,,,,,,,,gutim,9
non,1,10,1,6,11,5,,0.375,0.05,8,0,F4,fff,24,144,65,24,,,,g,,o,,d,e,,gutim,10
nof,1,10,1,6,12,,,0.425,,,,,,,144,65,0,,,,,,,,,,,gutim,10
non,1,11,1,7,13,6,0,0.45,1.42857142857143,1,0,Eb6,ff,22,144,87,22,,,,,,o,,d,e,,gutim,11
non,1,12,3,8,13,6,0,0.45,1.42857142857143,1,0,C2,f,20,144,36,20,,,,,t,o,,d,E,,gutim,12
non,1,13,3,9,13,6,0,0.45,1.42857142857143,1,0,Bb2,pp,8,144,46,8,,,,,t,o,,d 5919,E 5919,,gutim,13
rst,1,14,1,10,14,,1024,1.879,,,,<R>,,,176,102,0,,,,,,,,,,,gutim,14
non,1,15,3,11,14,,1024,1.879,2.14285714285714,1,1,C2,,,,,,,,,,T,,,,,,gutim,15
non,1,16,3,12,14,,1024,1.879,1.42857142857143,1,1,Bb2,,,,,,,,,,T,,,,,,gutim,16
nof,1,11,1,7,15,,0,2.329,,,,,,,144,87,0,,,,,,,,,,,gutim,11
rst,1,17,1,13,16,,1536,2.593,,,,<R>,,,176,102,0,,,,,,,,,,,gutim,17
nof,1,13,3,9,17,,0,3.757,,,,,,,144,46,0,,,,,,,,,,,gutim,13
bar,2,0,0,14,18,,0,4.021,,,,,,,,,,2,,,,,,,,,,gutim,18
non,2,1,1,15,18,7,0,4.021,2.85714285714286,0.5,0,Db6,pp,8,144,85,8,,,,,,o,,,,,gutim,19
rst,2,2,3,16,18,,0,4.021,,,,<R>,,,176,102,0,,,,,,,,,,,gutim,20
nof,1,12,3,8,19,,0,4.471,,,,,,,144,36,0,,,,,,,,,,,gutim,12
nof,2,1,1,15,20,,0,6.879,,,,,,,144,85,0,,,,,,,,,,,gutim,19
non,2,3,1,17,21,8,2048,6.879,2.85714285714286,0.5,0,E7,f,20,144,100,20,,,,,,o,,,,,gutim,21
nof,2,3,1,17,22,,2048,9.736,,,,,,,144,100,0,,,,,,,,,,,gutim,21
bar,3,0,0,18,22,,0,9.736,,,,,,,,,,3,,,,,,,,,,gutim,22
rst,3,1,1,19,22,,0,9.736,,,,<R>,,,176,102,0,,,,,,,,,,,gutim,23
rst,3,2,3,20,22,,0,9.736,,,,<R>,,,176,102,0,,,,,,,,,,,gutim,24
bar,4,0,0,21,23,,0,13.307,,,,,,,,,,4,,,,,,,,,,gutim,25
non,4,1,1,22,23,9,0,13.307,0.357142857142857,4,0,G#5,ff,22,144,80,22,,,,,,o,,,,,gutim,26
rst,4,2,3,23,23,,0,13.307,,,,<R>,,,176,102,0,,,,,,,,,,,gutim,27
nof,4,1,1,22,24,,0,13.664,,,,,,,144,80,0,,,,,,,,,,,gutim,26
non,4,3,1,24,24,10,256,13.664,2.85714285714286,0.5,0,A6,ff+,23,144,93,23,,,,,,o,,,,,gutim,28
nof,4,3,1,24,25,,256,16.296,,,,,,,144,93,0,,,,,,,,,,,gutim,28
non,4,4,1,25,25,11,,16.296,0.05,8,0,A6,ff+,23,144,93,23,,,,g,,o,,,,,gutim,29
non,4,5,1,26,26,12,,16.371,0.05,8,0,C2,ff+,23,144,36,23,,,,g,,o,,,,,gutim,30
nof,4,5,1,26,27,,,16.421,,,,,,,144,36,0,,,,,,,,,,,gutim,30
non,4,6,1,27,28,13,,16.446,0.05,8,0,F#4,ff+,23,144,66,23,,,,g,,o,,,,,gutim,31
nof,4,6,1,27,29,,,16.496,,,,,,,144,66,0,,,,,,,,,,,gutim,31
nof,4,4,1,25,30,,,16.521,,,,,,,144,93,0,,,,,,,,,,,gutim,29
non,4,7,1,28,30,14,2304,16.521,0.357142857142857,4,0,F#4,ff,22,144,66,22,,,,,,o,,,,,gutim,32
nof,4,7,1,28,31,,2304,16.879,,,,,,,144,66,0,,,,,,,,,,,gutim,32
bar,5,0,0,29,31,,0,16.879,,,,,,,,,,5,,,,,,,,,,gutim,33
non,5,1,1,30,31,15,0,16.879,2.67857142857143,1,3,E7,f,20,144,100,20,,,,,,o,,,,,gutim,34
rst,5,2,3,31,31,,0,16.879,,,,<R>,,,176,102,0,,,,,,,,,,,gutim,35
nof,5,1,1,30,32,,0,19.557,,,,,,,144,100,0,,,,,,,,,,,gutim,34
non,5,3,1,32,33,16,1920,19.557,0.178571428571429,8,0,G#6,p,11,144,92,11,,,,,,o,,,,,gutim,36
non,5,4,3,33,33,16,1920,19.557,0.178571428571429,8,0,A2,pp,8,144,45,8,,,,,t,o,,,,,gutim,37
