UID,trk,dtick,atick,amicro,type,ch,D0,D1,sci_pitch
    0,  0,         0,         0,         0,name,,,,    
    1,  0,         0,         0,         0,copy,,,,    
    2,  0,         0,         0,         0,text,,,,    
    3,  0,         0,         0,         0,tsig,2,2,,    
    4,  0,         0,         0,         0,ksig,,,,    
    5,  0,         0,         0,         0,tempo,126,bpm,,    
    9,  1,         0,         0,         0,port,,,,    
   10,  1,         0,         0,         0,name,,,,    
   11,  1,         0,         0,         0, non,  0, 68, 60, G#4
   12,  1,         0,         0,         0, non,  0, 77, 60,  F5
  820,  2,         0,         0,         0,port,,,,    
  821,  2,         0,         0,         0,name,,,,    
  822,  2,         0,         0,         0, non,  0, 56, 60, G#3
 1505,  3,         1,         1,      3968,copy,,,,    
 1506,  3,         0,         1,      3968,eot,,,,    
  823,  2,        30,        30,    119040, nof,  0, 56,  0,    
  824,  2,         0,        30,    119040, non,  0, 48, 60,  C3
   13,  1,        40,        40,    158720, nof,  0, 77,  0,    
   14,  1,         0,        40,    158720, nof,  0, 68,  0,    
   15,  1,         0,        40,    158720, non,  0, 60, 60,  C4
  825,  2,        30,        60,    238080, nof,  0, 48,  0,    
  826,  2,         0,        60,    238080, non,  0, 41, 60,  F2
   16,  1,        40,        80,    317440, nof,  0, 60,  0,    
   17,  1,         0,        80,    317440, non,  0, 67, 60,  G4
   18,  1,         0,        80,    317440, non,  0, 75, 60, D#5
  827,  2,        30,        90,    357120, nof,  0, 41,  0,    
  828,  2,         0,        90,    357120, non,  0, 41, 60,  F2
   19,  1,        40,       120,    476160, nof,  0, 75,  0,    
   20,  1,         0,       120,    476160, nof,  0, 67,  0,    
   21,  1,         0,       120,    476160, non,  0, 63, 60, D#4
  829,  2,        30,       120,    476160, nof,  0, 41,  0,    
  830,  2,         0,       120,    476160, non,  0, 29, 60,  F1
  831,  2,        30,       150,    595200, nof,  0, 29,  0,    
  832,  2,         0,       150,    595200, non,  0, 41, 60,  F2
   22,  1,        40,       160,    634880, nof,  0, 63,  0,    
   23,  1,         0,       160,    634880, non,  0, 65, 60,  F4
  833,  2,        30,       180,    714240, nof,  0, 41,  0,    
  834,  2,         0,       180,    714240, non,  0, 41, 60,  F2
   24,  1,        40,       200,    793600, nof,  0, 65,  0,    
   25,  1,         0,       200,    793600, non,  0, 72, 60,  C5
   26,  1,         0,       200,    793600, non,  0, 68, 60, G#4
  835,  2,        30,       210,    833280, nof,  0, 41,  0,    
  836,  2,         0,       210,    833280, non,  0, 48, 60,  C3
   27,  1,        40,       240,    952320, nof,  0, 68,  0,    
   28,  1,         0,       240,    952320, nof,  0, 72,  0,    
   29,  1,         0,       240,    952320, non,  0, 73, 60, C#5
   30,  1,         0,       240,    952320, non,  0, 65, 60,  F4
  837,  2,        30,       240,    952320, nof,  0, 48,  0,    
  838,  2,         0,       240,    952320, non,  0, 56, 60, G#3
  839,  2,        30,       270,   1071360, nof,  0, 56,  0,    
  840,  2,         0,       270,   1071360, non,  0, 46, 60, A#2
   31,  1,        40,       280,   1111040, nof,  0, 65,  0,    
   32,  1,         0,       280,   1111040, nof,  0, 73,  0,    
   33,  1,         0,       280,   1111040, non,  0, 56, 60, G#3
  841,  2,        30,       300,   1190400, nof,  0, 46,  0,    
  842,  2,         0,       300,   1190400, non,  0, 41, 60,  F2
   34,  1,        40,       320,   1269760, nof,  0, 56,  0,    
   35,  1,         0,       320,   1269760, non,  0, 72, 60,  C5
   36,  1,         0,       320,   1269760, non,  0, 63, 60, D#4
  843,  2,        30,       330,   1309440, nof,  0, 41,  0,    
  844,  2,         0,       330,   1309440, non,  0, 41, 60,  F2
   37,  1,        40,       360,   1428480, nof,  0, 63,  0,    
   38,  1,         0,       360,   1428480, nof,  0, 72,  0,    
   39,  1,         0,       360,   1428480, non,  0, 60, 60,  C4
  845,  2,        30,       360,   1428480, nof,  0, 41,  0,    
  846,  2,         0,       360,   1428480, non,  0, 29, 60,  F1
  847,  2,        30,       390,   1547520, nof,  0, 29,  0,    
  848,  2,         0,       390,   1547520, non,  0, 41, 60,  F2
   40,  1,        40,       400,   1587200, nof,  0, 60,  0,    
   41,  1,         0,       400,   1587200, non,  0, 61, 60, C#4
  849,  2,        30,       420,   1666560, nof,  0, 41,  0,    
  850,  2,         0,       420,   1666560, non,  0, 41, 60,  F2
   42,  1,        40,       440,   1745920, nof,  0, 61,  0,    
   43,  1,         0,       440,   1745920, non,  0, 68, 60, G#4
   44,  1,         0,       440,   1745920, non,  0, 65, 60,  F4
  851,  2,        30,       450,   1785600, nof,  0, 41,  0,    
  852,  2,         0,       450,   1785600, non,  0, 46, 60, A#2
   45,  1,        40,       480,   1904640, nof,  0, 65,  0,    
   46,  1,         0,       480,   1904640, nof,  0, 68,  0,    
   47,  1,         0,       480,   1904640, non,  0, 61, 60, C#4
   48,  1,         0,       480,   1904640, non,  0, 70, 60, A#4
  853,  2,        30,       480,   1904640, nof,  0, 46,  0,    
  854,  2,         0,       480,   1904640, non,  0, 56, 60, G#3
  855,  2,        30,       510,   2023680, nof,  0, 56,  0,    
  856,  2,         0,       510,   2023680, non,  0, 49, 60, C#3
   49,  1,        40,       520,   2063360, nof,  0, 70,  0,    
   50,  1,         0,       520,   2063360, nof,  0, 61,  0,    
   51,  1,         0,       520,   2063360, non,  0, 53, 60,  F3
  857,  2,        30,       540,   2142720, nof,  0, 49,  0,    
  858,  2,         0,       540,   2142720, non,  0, 41, 60,  F2
   52,  1,        40,       560,   2222080, nof,  0, 53,  0,    
   53,  1,         0,       560,   2222080, non,  0, 60, 60,  C4
   54,  1,         0,       560,   2222080, non,  0, 68, 60, G#4
  859,  2,        30,       570,   2261760, nof,  0, 41,  0,    
  860,  2,         0,       570,   2261760, non,  0, 41, 60,  F2
   55,  1,        40,       600,   2380800, nof,  0, 68,  0,    
   56,  1,         0,       600,   2380800, nof,  0, 60,  0,    
   57,  1,         0,       600,   2380800, non,  0, 56, 60, G#3
  861,  2,        30,       600,   2380800, nof,  0, 41,  0,    
  862,  2,         0,       600,   2380800, non,  0, 29, 60,  F1
  863,  2,        30,       630,   2499840, nof,  0, 29,  0,    
  864,  2,         0,       630,   2499840, non,  0, 41, 60,  F2
   58,  1,        40,       640,   2539520, nof,  0, 56,  0,    
   59,  1,         0,       640,   2539520, non,  0, 58, 60, A#3
  865,  2,        30,       660,   2618880, nof,  0, 41,  0,    
  866,  2,         0,       660,   2618880, non,  0, 41, 60,  F2
   60,  1,        40,       680,   2698240, nof,  0, 58,  0,    
   61,  1,         0,       680,   2698240, non,  0, 65, 60,  F4
   62,  1,         0,       680,   2698240, non,  0, 61, 60, C#4
  867,  2,        30,       690,   2737920, nof,  0, 41,  0,    
  868,  2,         0,       690,   2737920, non,  0, 49, 60, C#3
   63,  1,        40,       720,   2856960, nof,  0, 61,  0,    
   64,  1,         0,       720,   2856960, nof,  0, 65,  0,    
   65,  1,         0,       720,   2856960, non,  0, 60, 60,  C4
   66,  1,         0,       720,   2856960, non,  0, 68, 60, G#4
  869,  2,        30,       720,   2856960, nof,  0, 49,  0,    
  870,  2,         0,       720,   2856960, non,  0, 56, 60, G#3
  871,  2,        30,       750,   2976000, nof,  0, 56,  0,    
  872,  2,         0,       750,   2976000, non,  0, 48, 60,  C3
   67,  1,        40,       760,   3015680, nof,  0, 68,  0,    
   68,  1,         0,       760,   3015680, nof,  0, 60,  0,    
   69,  1,         0,       760,   3015680, non,  0, 60, 60,  C4
  873,  2,        30,       780,   3095040, nof,  0, 48,  0,    
  874,  2,         0,       780,   3095040, non,  0, 41, 60,  F2
   70,  1,        40,       800,   3174400, nof,  0, 60,  0,    
   71,  1,         0,       800,   3174400, non,  0, 65, 60,  F4
  875,  2,        30,       810,   3214080, nof,  0, 41,  0,    
  876,  2,         0,       810,   3214080, non,  0, 41, 60,  F2
   72,  1,        40,       840,   3333120, nof,  0, 65,  0,    
   73,  1,         0,       840,   3333120, non,  0, 67, 60,  G4
  877,  2,        30,       840,   3333120, nof,  0, 41,  0,    
  878,  2,         0,       840,   3333120, non,  0, 29, 60,  F1
  879,  2,        30,       870,   3452160, nof,  0, 29,  0,    
  880,  2,         0,       870,   3452160, non,  0, 41, 60,  F2
   74,  1,        40,       880,   3491840, nof,  0, 67,  0,    
   75,  1,         0,       880,   3491840, non,  0, 68, 60, G#4
  881,  2,        30,       900,   3571200, nof,  0, 41,  0,    
  882,  2,         0,       900,   3571200, non,  0, 41, 60,  F2
   76,  1,        40,       920,   3650560, nof,  0, 68,  0,    
   77,  1,         0,       920,   3650560, non,  0, 72, 60,  C5
  883,  2,        30,       930,   3690240, nof,  0, 41,  0,    
