UID,trk,dtick,atick,amicro,type,ch,D0,D1,sci_pitch
    0,  0,         0,         0,         0,name,,,,    
    1,  0,         0,         0,         0,copy,,,,    
    2,  0,         0,         0,         0,text,,,,    
    3,  0,         0,         0,         0,tsig,2,2,,    
    4,  0,         0,         0,         0,ksig,,,,    
    5,  0,         0,         0,         0,tempo,167,bpm,,    
    6,  0,         0,         0,         0,eot,,,,    
    7,  1,         0,         0,         0,port,,,,    
    8,  1,         0,         0,         0,name,,,,    
    9,  1,         0,         0,         0, non,  0, 71, 40,  B4
  330,  2,         0,         0,         0,port,,,,    
  331,  2,         0,         0,         0,name,,,,    
  347,  3,         0,         0,         0,port,,,,    
  348,  3,         0,         0,         0,name,,,,    
  349,  3,         0,         0,         0, non,  0, 69, 40,  A4
  350,  3,         0,         0,         0, non,  0, 63, 40, D#4
  351,  3,         0,         0,         0, non,  0, 53, 40,  F3
  616,  4,         0,         0,         0,port,,,,    
  617,  4,         0,         0,         0,name,,,,    
  618,  4,         0,         0,         0, ctl,  0, 64,127,    
  689,  5,         1,         1,      2976,copy,,,,    
  690,  5,         0,         1,      2976,eot,,,,    
   10,  1,        40,        40,    119040, nof,  0, 71,  0,    
   11,  1,         0,        40,    119040, non,  0, 75, 40, D#5
  352,  3,        60,        60,    178560, nof,  0, 53,  0,    
  353,  3,         0,        60,    178560, nof,  0, 63,  0,    
  354,  3,         0,        60,    178560, nof,  0, 69,  0,    
   12,  1,        40,        80,    238080, nof,  0, 75,  0,    
   13,  1,         0,        80,    238080, non,  0, 74, 40,  D5
  619,  4,        90,        90,    267840, ctl,  0, 64,  0,    
   14,  1,        40,       120,    357120, nof,  0, 74,  0,    
   15,  1,         0,       120,    357120, non,  0, 73, 40, C#5
  355,  3,        60,       120,    357120, non,  0, 63, 40, D#4
  356,  3,         0,       120,    357120, non,  0, 57, 40,  A3
  357,  3,         0,       120,    357120, non,  0, 47, 40,  B2
  620,  4,        30,       120,    357120, ctl,  0, 64,127,    
   16,  1,        40,       160,    476160, nof,  0, 73,  0,    
   17,  1,         0,       160,    476160, non,  0, 79, 40,  G5
  358,  3,        60,       180,    535680, nof,  0, 47,  0,    
  359,  3,         0,       180,    535680, nof,  0, 57,  0,    
  360,  3,         0,       180,    535680, nof,  0, 63,  0,    
   18,  1,        40,       200,    595200, nof,  0, 79,  0,    
   19,  1,         0,       200,    595200, non,  0, 73, 40, C#5
  621,  4,        90,       210,    624960, ctl,  0, 64,  0,    
   20,  1,        40,       240,    714240, nof,  0, 73,  0,    
   21,  1,         0,       240,    714240, non,  0, 74, 40,  D5
  361,  3,        60,       240,    714240, non,  0, 72, 40,  C5
  362,  3,         0,       240,    714240, non,  0, 66, 40, F#4
  363,  3,         0,       240,    714240, non,  0, 56, 40, G#3
  622,  4,        30,       240,    714240, ctl,  0, 64,127,    
   22,  1,        40,       280,    833280, nof,  0, 74,  0,    
   23,  1,         0,       280,    833280, non,  0, 78, 40, F#5
  364,  3,        60,       300,    892800, nof,  0, 56,  0,    
  365,  3,         0,       300,    892800, nof,  0, 66,  0,    
  366,  3,         0,       300,    892800, nof,  0, 72,  0,    
   24,  1,        40,       320,    952320, nof,  0, 78,  0,    
   25,  1,         0,       320,    952320, non,  0, 77, 40,  F5
  623,  4,        90,       330,    982080, ctl,  0, 64,  0,    
   26,  1,        40,       360,   1071360, nof,  0, 77,  0,    
   27,  1,         0,       360,   1071360, non,  0, 76, 40,  E5
  367,  3,        60,       360,   1071360, non,  0, 66, 40, F#4
  368,  3,         0,       360,   1071360, non,  0, 60, 40,  C4
  369,  3,         0,       360,   1071360, non,  0, 50, 40,  D3
  624,  4,        30,       360,   1071360, ctl,  0, 64,127,    
   28,  1,        40,       400,   1190400, nof,  0, 76,  0,    
   29,  1,         0,       400,   1190400, non,  0, 82, 40, A#5
  370,  3,        60,       420,   1249920, nof,  0, 50,  0,    
  371,  3,         0,       420,   1249920, nof,  0, 60,  0,    
  372,  3,         0,       420,   1249920, nof,  0, 66,  0,    
   30,  1,        40,       440,   1309440, nof,  0, 82,  0,    
   31,  1,         0,       440,   1309440, non,  0, 76, 40,  E5
  625,  4,        90,       450,   1339200, ctl,  0, 64,  0,    
   32,  1,        40,       480,   1428480, nof,  0, 76,  0,    
   33,  1,         0,       480,   1428480, non,  0, 77, 40,  F5
  373,  3,        60,       480,   1428480, non,  0, 71, 40,  B4
  374,  3,         0,       480,   1428480, non,  0, 65, 40,  F4
  375,  3,         0,       480,   1428480, non,  0, 55, 40,  G3
  626,  4,        30,       480,   1428480, ctl,  0, 64,127,    
   34,  1,        40,       520,   1547520, nof,  0, 77,  0,    
   35,  1,         0,       520,   1547520, non,  0, 81, 40,  A5
  376,  3,        60,       540,   1607040, nof,  0, 55,  0,    
  377,  3,         0,       540,   1607040, nof,  0, 65,  0,    
  378,  3,         0,       540,   1607040, nof,  0, 71,  0,    
   36,  1,        40,       560,   1666560, nof,  0, 81,  0,    
   37,  1,         0,       560,   1666560, non,  0, 80, 40, G#5
  627,  4,        90,       570,   1696320, ctl,  0, 64,  0,    
   38,  1,        40,       600,   1785600, nof,  0, 80,  0,    
   39,  1,         0,       600,   1785600, non,  0, 79, 40,  G5
  379,  3,        60,       600,   1785600, non,  0, 65, 40,  F4
  380,  3,         0,       600,   1785600, non,  0, 59, 40,  B3
  381,  3,         0,       600,   1785600, non,  0, 49, 40, C#3
  628,  4,        30,       600,   1785600, ctl,  0, 64,127,    
   40,  1,        40,       640,   1904640, nof,  0, 79,  0,    
   41,  1,         0,       640,   1904640, non,  0, 87, 40, D#6
  382,  3,        60,       660,   1964160, nof,  0, 49,  0,    
  383,  3,         0,       660,   1964160, nof,  0, 59,  0,    
  384,  3,         0,       660,   1964160, nof,  0, 65,  0,    
   42,  1,        40,       680,   2023680, nof,  0, 87,  0,    
   43,  1,         0,       680,   2023680, non,  0, 82, 40, A#5
  629,  4,        90,       690,   2053440, ctl,  0, 64,  0,    
   44,  1,        40,       720,   2142720, nof,  0, 82,  0,    
   45,  1,         0,       720,   2142720, non,  0, 83, 40,  B5
  385,  3,        60,       720,   2142720, non,  0, 71, 40,  B4
  386,  3,         0,       720,   2142720, non,  0, 65, 40,  F4
  387,  3,         0,       720,   2142720, non,  0, 55, 40,  G3
  630,  4,        30,       720,   2142720, ctl,  0, 64,127,    
   46,  1,        40,       760,   2261760, nof,  0, 83,  0,    
   47,  1,         0,       760,   2261760, non,  0, 75, 40, D#5
  388,  3,        60,       780,   2321280, nof,  0, 55,  0,    
  389,  3,         0,       780,   2321280, nof,  0, 65,  0,    
  390,  3,         0,       780,   2321280, nof,  0, 71,  0,    
   48,  1,        40,       800,   2380800, nof,  0, 75,  0,    
   49,  1,         0,       800,   2380800, non,  0, 76, 40,  E5
  631,  4,        90,       810,   2410560, ctl,  0, 64,  0,    
   50,  1,        40,       840,   2499840, nof,  0, 76,  0,    
   51,  1,         0,       840,   2499840, non,  0, 77, 40,  F5
  332,  2,       840,       840,   2499840, non,  0, 71, 40,  B4
  333,  2,         0,       840,   2499840, non,  0, 65, 40,  F4
  334,  2,         0,       840,   2499840, non,  0, 61, 40, C#4
  632,  4,        30,       840,   2499840, ctl,  0, 64,127,    
   52,  1,        40,       880,   2618880, nof,  0, 77,  0,    
   53,  1,         0,       880,   2618880, non,  0, 68, 40, G#4
  335,  2,        60,       900,   2678400, nof,  0, 61,  0,    
  336,  2,         0,       900,   2678400, nof,  0, 65,  0,    
  337,  2,         0,       900,   2678400, nof,  0, 71,  0,    
   54,  1,        40,       920,   2737920, nof,  0, 68,  0,    
   55,  1,         0,       920,   2737920, non,  0, 67, 40,  G4
  633,  4,        90,       930,   2767680, ctl,  0, 64,  0,    
   56,  1,        40,       960,   2856960, nof,  0, 67,  0,    
   57,  1,         0,       960,   2856960, non,  0, 71, 40,  B4
  391,  3,       180,       960,   2856960, non,  0, 65, 40,  F4
  392,  3,         0,       960,   2856960, non,  0, 59, 40,  B3
  393,  3,         0,       960,   2856960, non,  0, 49, 40, C#3
  634,  4,        30,       960,   2856960, ctl,  0, 64,127,    
   58,  1,        40,      1000,   2976000, nof,  0, 71,  0,    
   59,  1,         0,      1000,   2976000, non,  0, 70, 40, A#4
  394,  3,        60,      1020,   3035520, nof,  0, 49,  0,    
  395,  3,         0,      1020,   3035520, nof,  0, 59,  0,    
  396,  3,         0,      1020,   3035520, nof,  0, 65,  0,    
   60,  1,        40,      1040,   3095040, nof,  0, 70,  0,    
  635,  4,        90,      1050,   3124800, ctl,  0, 64,  0,    
   61,  1,        20,      1060,   3154560, non,  0, 69, 40,  A4
