UID,trk,dtick,atick,amicro,type,ch,D0,D1,sci_pitch
    0,  0,         0,         0,         0,name,,,,    
    1,  0,         0,         0,         0,copy,,,,    
    2,  0,         0,         0,         0,text,,,,    
    3,  0,         0,         0,         0,tsig,12,4,,    
    4,  0,         0,         0,         0,ksig,,,,    
    5,  0,         0,         0,         0,tempo,107,bpm,,    
   46,  1,         0,         0,         0,port,,,,    
   47,  1,         0,         0,         0,name,,,,    
   48,  1,         0,         0,         0, non,  0, 80, 40, G#5
   49,  1,         0,         0,         0, non,  0, 66, 40, F#4
 1861,  2,         0,         0,         0,port,,,,    
 1862,  2,         0,         0,         0,name,,,,    
 1960,  3,         0,         0,         0,port,,,,    
 1961,  3,         0,         0,         0,name,,,,    
 2063,  4,         0,         0,         0,port,,,,    
 2064,  4,         0,         0,         0,name,,,,    
 2065,  4,         0,         0,         0, non,  0, 62, 40,  D4
 2066,  4,         0,         0,         0, non,  0, 58, 40, A#3
 2067,  4,         0,         0,         0, non,  0, 52, 40,  E3
 2846,  5,         0,         0,         0,port,,,,    
 2847,  5,         0,         0,         0,name,,,,    
 3435,  6,         0,         0,         0,port,,,,    
 3436,  6,         0,         0,         0,name,,,,    
 3437,  6,         0,         0,         0, ctl,  0, 64,127,    
 3712,  7,         1,         1,      2314,copy,,,,    
 3713,  7,         0,         1,      2314,eot,,,,    
   50,  1,        60,        60,    138840, nof,  0, 66,  0,    
   51,  1,         0,        60,    138840, nof,  0, 80,  0,    
   52,  1,         0,        60,    138840, non,  0, 81, 40,  A5
   53,  1,         0,        60,    138840, non,  0, 67, 40,  G4
   54,  1,        60,       120,    277680, nof,  0, 67,  0,    
   55,  1,         0,       120,    277680, nof,  0, 81,  0,    
   56,  1,         0,       120,    277680, non,  0, 82, 40, A#5
   57,  1,         0,       120,    277680, non,  0, 68, 40, G#4
 3438,  6,       120,       120,    277680, ctl,  0, 64,  0,    
   58,  1,        60,       180,    416520, nof,  0, 68,  0,    
   59,  1,         0,       180,    416520, nof,  0, 82,  0,    
   60,  1,         0,       180,    416520, non,  0, 83, 40,  B5
   61,  1,         0,       180,    416520, non,  0, 69, 40,  A4
 2068,  4,       180,       180,    416520, nof,  0, 52,  0,    
 2069,  4,         0,       180,    416520, nof,  0, 58,  0,    
 2070,  4,         0,       180,    416520, nof,  0, 62,  0,    
 2071,  4,         0,       180,    416520, non,  0, 65, 40,  F4
 2072,  4,         0,       180,    416520, non,  0, 55, 40,  G3
 2073,  4,         0,       180,    416520, non,  0, 49, 40, C#3
 3439,  6,        60,       180,    416520, ctl,  0, 64,127,    
   62,  1,        60,       240,    555360, nof,  0, 69,  0,    
   63,  1,         0,       240,    555360, nof,  0, 83,  0,    
   64,  1,         0,       240,    555360, non,  0, 84, 40,  C6
   65,  1,         0,       240,    555360, non,  0, 70, 40, A#4
   66,  1,        60,       300,    694200, nof,  0, 70,  0,    
   67,  1,         0,       300,    694200, nof,  0, 84,  0,    
   68,  1,         0,       300,    694200, non,  0, 85, 40, C#6
   69,  1,         0,       300,    694200, non,  0, 71, 40,  B4
 3440,  6,       120,       300,    694200, ctl,  0, 64,  0,    
 2074,  4,       135,       315,    728910, non,  0, 46, 40, A#2
 2075,  4,        15,       330,    763620, non,  0, 52, 40,  E3
 2076,  4,        15,       345,    798330, non,  0, 62, 40,  D4
   70,  1,        60,       360,    833040, nof,  0, 71,  0,    
   71,  1,         0,       360,    833040, nof,  0, 85,  0,    
   72,  1,         0,       360,    833040, non,  0, 86, 50,  D6
   73,  1,         0,       360,    833040, non,  0, 72, 50,  C5
 2077,  4,        15,       360,    833040, nof,  0, 49,  0,    
 2078,  4,         0,       360,    833040, nof,  0, 65,  0,    
 2079,  4,         0,       360,    833040, nof,  0, 55,  0,    
 2080,  4,         0,       360,    833040, non,  0, 68, 50, G#4
 3441,  6,        60,       360,    833040, ctl,  0, 64,127,    
   74,  1,        60,       420,    971880, nof,  0, 72,  0,    
   75,  1,         0,       420,    971880, nof,  0, 86,  0,    
   76,  1,         0,       420,    971880, non,  0, 87, 60, D#6
   77,  1,         0,       420,    971880, non,  0, 73, 60, C#5
   78,  1,        60,       480,   1110720, nof,  0, 73,  0,    
   79,  1,         0,       480,   1110720, nof,  0, 87,  0,    
   80,  1,         0,       480,   1110720, non,  0, 88, 70,  E6
   81,  1,         0,       480,   1110720, non,  0, 74, 70,  D5
 3442,  6,       120,       480,   1110720, ctl,  0, 64,  0,    
   82,  1,        60,       540,   1249560, nof,  0, 74,  0,    
   83,  1,         0,       540,   1249560, nof,  0, 88,  0,    
   84,  1,         0,       540,   1249560, non,  0, 89, 80,  F6
   85,  1,         0,       540,   1249560, non,  0, 75, 80, D#5
 2081,  4,       180,       540,   1249560, nof,  0, 68,  0,    
 2082,  4,         0,       540,   1249560, nof,  0, 62,  0,    
 2083,  4,         0,       540,   1249560, nof,  0, 52,  0,    
 2084,  4,         0,       540,   1249560, nof,  0, 46,  0,    
 2085,  4,         0,       540,   1249560, non,  0, 71, 80,  B4
 2086,  4,         0,       540,   1249560, non,  0, 65, 80,  F4
 2087,  4,         0,       540,   1249560, non,  0, 59, 80,  B3
 3443,  6,        60,       540,   1249560, ctl,  0, 64,127,    
   86,  1,        60,       600,   1388400, nof,  0, 75,  0,    
   87,  1,         0,       600,   1388400, nof,  0, 89,  0,    
   88,  1,         0,       600,   1388400, non,  0, 90, 90, F#6
   89,  1,         0,       600,   1388400, non,  0, 76, 90,  E5
 2088,  4,        90,       630,   1457820, nof,  0, 59,  0,    
 2089,  4,         0,       630,   1457820, nof,  0, 65,  0,    
 2090,  4,         0,       630,   1457820, nof,  0, 71,  0,    
 2091,  4,         0,       630,   1457820, non,  0, 43, 90,  G2
 2092,  4,         0,       630,   1457820, non,  0, 49, 90, C#3
   90,  1,        60,       660,   1527240, nof,  0, 76,  0,    
   91,  1,         0,       660,   1527240, nof,  0, 90,  0,    
   92,  1,         0,       660,   1527240, non,  0, 91,100,  G6
   93,  1,         0,       660,   1527240, non,  0, 77,100,  F5
 3444,  6,       120,       660,   1527240, ctl,  0, 64,  0,    
   94,  1,        60,       720,   1666080, nof,  0, 77,  0,    
   95,  1,         0,       720,   1666080, nof,  0, 91,  0,    
   96,  1,         0,       720,   1666080, non,  0, 92,100, G#6
   97,  1,         0,       720,   1666080, non,  0, 78,100, F#5
 2093,  4,        90,       720,   1666080, nof,  0, 49,  0,    
 2094,  4,         0,       720,   1666080, nof,  0, 43,  0,    
 2095,  4,         0,       720,   1666080, non,  0, 40,100,  E2
 3445,  6,        60,       720,   1666080, ctl,  0, 64,127,    
 2096,  4,        45,       765,   1770210, nof,  0, 40,  0,    
 2097,  4,         0,       765,   1770210, non,  0, 46,100, A#2
   98,  1,        60,       780,   1804920, nof,  0, 78,  0,    
   99,  1,         0,       780,   1804920, nof,  0, 92,  0,    
  100,  1,         0,       780,   1804920, non,  0, 92, 90, G#6
  101,  1,         0,       780,   1804920, non,  0, 78, 90, F#5
 2098,  4,        45,       810,   1874340, nof,  0, 46,  0,    
 2099,  4,         0,       810,   1874340, non,  0, 56, 90, G#3
  102,  1,        60,       840,   1943760, nof,  0, 78,  0,    
  103,  1,         0,       840,   1943760, nof,  0, 92,  0,    
  104,  1,         0,       840,   1943760, non,  0, 92, 80, G#6
  105,  1,         0,       840,   1943760, non,  0, 78, 80, F#5
 2100,  4,        45,       855,   1978470, nof,  0, 56,  0,    
 2101,  4,         0,       855,   1978470, non,  0, 62, 80,  D4
  106,  1,        60,       900,   2082600, nof,  0, 78,  0,    
  107,  1,         0,       900,   2082600, nof,  0, 92,  0,    
  108,  1,         0,       900,   2082600, non,  0, 92, 70, G#6
  109,  1,         0,       900,   2082600, non,  0, 78, 70, F#5
 2102,  4,        45,       900,   2082600, nof,  0, 62,  0,    
 2103,  4,         0,       900,   2082600, non,  0, 72, 70,  C5
  110,  1,        60,       960,   2221440, nof,  0, 78,  0,    
  111,  1,         0,       960,   2221440, nof,  0, 92,  0,    
  112,  1,         0,       960,   2221440, non,  0, 92, 60, G#6
  113,  1,         0,       960,   2221440, non,  0, 78, 60, F#5
  114,  1,        60,      1020,   2360280, nof,  0, 78,  0,    
  115,  1,         0,      1020,   2360280, nof,  0, 92,  0,    
  116,  1,         0,      1020,   2360280, non,  0, 92, 50, G#6
  117,  1,         0,      1020,   2360280, non,  0, 78, 50, F#5
  118,  1,        60,      1080,   2499120, nof,  0, 78,  0,    
  119,  1,         0,      1080,   2499120, nof,  0, 92,  0,    
  120,  1,         0,      1080,   2499120, non,  0, 92, 40, G#6
  121,  1,         0,      1080,   2499120, non,  0, 78, 40, F#5
