UID,trk,dtick,atick,amicro,type,ch,D0,D1,sci_pitch
    0,  0,         0,         0,         0,name,,,,    
    1,  0,         0,         0,         0,copy,,,,    
    2,  0,         0,         0,         0,text,,,,    
    3,  0,         0,         0,         0,tsig,4,2,,    
    4,  0,         0,         0,         0,ksig,,,,    
    5,  0,         0,         0,         0,tempo,80,bpm,,    
   39,  1,         0,         0,         0,port,,,,    
   40,  1,         0,         0,         0,name,,,,    
  482,  2,         0,         0,         0,port,,,,    
  483,  2,         0,         0,         0,name,,,,    
  571,  3,         0,         0,         0,port,,,,    
  572,  3,         0,         0,         0,name,,,,    
  573,  3,         0,         0,         0, non,  0, 66, 60, F#4
 1096,  4,         0,         0,         0,port,,,,    
 1097,  4,         0,         0,         0,name,,,,    
 1098,  4,         0,         0,         0, ctl,  0, 64,127,    
 1235,  5,         1,         1,      6250,copy,,,,    
 1236,  5,         0,         1,      6250,eot,,,,    
  574,  3,        40,        40,    250000, nof,  0, 66,  0,    
  575,  3,         0,        40,    250000, non,  0, 56, 60, G#3
  576,  3,        40,        80,    500000, nof,  0, 56,  0,    
  577,  3,         0,        80,    500000, non,  0, 51, 60, D#3
   41,  1,       120,       120,    750000, non,  0, 71, 60,  B4
   42,  1,         0,       120,    750000, non,  0, 82, 60, A#5
  578,  3,        80,       160,   1000000, nof,  0, 51,  0,    
  579,  3,         0,       160,   1000000, non,  0, 56, 60, G#3
  580,  3,        40,       200,   1250000, nof,  0, 56,  0,    
  581,  3,         0,       200,   1250000, non,  0, 66, 60, F#4
  582,  3,        80,       280,   1750000, nof,  0, 66,  0,    
  583,  3,         0,       280,   1750000, non,  0, 56, 60, G#3
  584,  3,        40,       320,   2000000, nof,  0, 56,  0,    
  585,  3,         0,       320,   2000000, non,  0, 50, 60,  D3
 1099,  4,       330,       330,   2062500, ctl,  0, 64,  0,    
   43,  1,       240,       360,   2250000, nof,  0, 82,  0,    
   44,  1,         0,       360,   2250000, nof,  0, 71,  0,    
   45,  1,         0,       360,   2250000, non,  0, 71, 60,  B4
   46,  1,         0,       360,   2250000, non,  0, 82, 60, A#5
 1100,  4,        30,       360,   2250000, ctl,  0, 64,127,    
  586,  3,        80,       400,   2500000, nof,  0, 50,  0,    
  587,  3,         0,       400,   2500000, non,  0, 56, 60, G#3
  588,  3,        40,       440,   2750000, nof,  0, 56,  0,    
  589,  3,         0,       440,   2750000, non,  0, 66, 60, F#4
 1101,  4,        90,       450,   2812500, ctl,  0, 64,  0,    
    6,  0,       480,       480,   3000000,tempo,75,bpm,,    
  590,  3,        40,       480,   3000000, nof,  0, 66,  0,    
  591,  3,         0,       480,   3000000, non,  0, 65, 60,  F4
 1102,  4,        30,       480,   3000000, ctl,  0, 64,127,    
  592,  3,        40,       520,   3263120, nof,  0, 65,  0,    
  593,  3,         0,       520,   3263120, non,  0, 59, 60,  B3
   47,  1,       200,       560,   3526240, nof,  0, 82,  0,    
   48,  1,         0,       560,   3526240, nof,  0, 71,  0,    
   49,  1,         0,       560,   3526240, non,  0, 82, 60, A#5
   50,  1,         0,       560,   3526240, non,  0, 71, 60,  B4
  594,  3,        40,       560,   3526240, nof,  0, 59,  0,    
  595,  3,         0,       560,   3526240, non,  0, 49, 60, C#3
 1103,  4,        90,       570,   3592020, ctl,  0, 64,  0,    
  596,  3,        25,       585,   3690690, non,  0, 43, 60,  G2
   51,  1,        40,       600,   3789360, nof,  0, 71,  0,    
   52,  1,         0,       600,   3789360, nof,  0, 82,  0,    
   53,  1,         0,       600,   3789360, non,  0, 85, 60, C#6
   54,  1,         0,       600,   3789360, non,  0, 74, 60,  D5
  597,  3,        15,       600,   3789360, nof,  0, 49,  0,    
  598,  3,         0,       600,   3789360, non,  0, 53, 60,  F3
 1104,  4,        30,       600,   3789360, ctl,  0, 64,127,    
  599,  3,        15,       615,   3888030, non,  0, 59, 60,  B3
  600,  3,        15,       630,   3986700, non,  0, 65, 60,  F4
    7,  0,       480,       960,   6157440,tempo,80,bpm,,    
  601,  3,       330,       960,   6157440, nof,  0, 65,  0,    
  602,  3,         0,       960,   6157440, nof,  0, 43,  0,    
  603,  3,         0,       960,   6157440, nof,  0, 53,  0,    
  604,  3,         0,       960,   6157440, nof,  0, 59,  0,    
  605,  3,         0,       960,   6157440, non,  0, 65, 60,  F4
  606,  3,        40,      1000,   6407440, nof,  0, 65,  0,    
  607,  3,         0,      1000,   6407440, non,  0, 59, 60,  B3
  608,  3,        40,      1040,   6657440, nof,  0, 59,  0,    
  609,  3,         0,      1040,   6657440, non,  0, 49, 60, C#3
 1105,  4,       450,      1050,   6719940, ctl,  0, 64,  0,    
   55,  1,       480,      1080,   6907440, nof,  0, 74,  0,    
   56,  1,         0,      1080,   6907440, nof,  0, 85,  0,    
   57,  1,         0,      1080,   6907440, non,  0, 75, 60, D#5
   58,  1,         0,      1080,   6907440, non,  0, 64, 60,  E4
  610,  3,        40,      1080,   6907440, non,  0, 59, 60,  B3
  611,  3,         0,      1080,   6907440, non,  0, 55, 60,  G3
 1106,  4,        30,      1080,   6907440, ctl,  0, 64,127,    
 1107,  4,       210,      1290,   8219940, ctl,  0, 64,  0,    
   59,  1,       240,      1320,   8407440, nof,  0, 64,  0,    
   60,  1,         0,      1320,   8407440, nof,  0, 75,  0,    
   61,  1,         0,      1320,   8407440, non,  0, 76, 60,  E5
   62,  1,         0,      1320,   8407440, non,  0, 65, 60,  F4
 1108,  4,        30,      1320,   8407440, ctl,  0, 64,127,    
 1109,  4,        90,      1410,   8969940, ctl,  0, 64,  0,    
   63,  1,       120,      1440,   9157440, nof,  0, 65,  0,    
   64,  1,         0,      1440,   9157440, nof,  0, 76,  0,    
   65,  1,         0,      1440,   9157440, non,  0, 79, 60,  G5
   66,  1,         0,      1440,   9157440, non,  0, 68, 60, G#4
  612,  3,       360,      1440,   9157440, nof,  0, 55,  0,    
  613,  3,         0,      1440,   9157440, nof,  0, 59,  0,    
  614,  3,         0,      1440,   9157440, nof,  0, 49,  0,    
  615,  3,         0,      1440,   9157440, non,  0, 62, 60,  D4
 1110,  4,        30,      1440,   9157440, ctl,  0, 64,127,    
  616,  3,        40,      1480,   9407440, nof,  0, 62,  0,    
  617,  3,         0,      1480,   9407440, non,  0, 56, 60, G#3
  618,  3,        40,      1520,   9657440, nof,  0, 56,  0,    
  619,  3,         0,      1520,   9657440, non,  0, 46, 60, A#2
  620,  3,        80,      1600,  10157440, nof,  0, 46,  0,    
  621,  3,         0,      1600,  10157440, non,  0, 56, 60, G#3
  622,  3,        40,      1640,  10407440, nof,  0, 56,  0,    
  623,  3,         0,      1640,  10407440, non,  0, 62, 60,  D4
  624,  3,        40,      1680,  10657440, nof,  0, 62,  0,    
  625,  3,         0,      1680,  10657440, non,  0, 72, 60,  C5
  626,  3,         0,      1680,  10657440, non,  0, 60, 60,  C4
  627,  3,       120,      1800,  11407440, nof,  0, 60,  0,    
  628,  3,         0,      1800,  11407440, nof,  0, 72,  0,    
  629,  3,         0,      1800,  11407440, non,  0, 59, 60,  B3
  630,  3,         0,      1800,  11407440, non,  0, 71, 60,  B4
  631,  3,       120,      1920,  12157440, nof,  0, 71,  0,    
  632,  3,         0,      1920,  12157440, nof,  0, 59,  0,    
  633,  3,         0,      1920,  12157440, non,  0, 71, 65,  B4
  634,  3,         0,      1920,  12157440, non,  0, 59, 65,  B3
 1111,  4,       570,      2010,  12719940, ctl,  0, 64,  0,    
   67,  1,       600,      2040,  12907440, nof,  0, 68,  0,    
   68,  1,         0,      2040,  12907440, nof,  0, 79,  0,    
   69,  1,         0,      2040,  12907440, non,  0, 82, 65, A#5
   70,  1,         0,      2040,  12907440, non,  0, 71, 65,  B4
  635,  3,       120,      2040,  12907440, nof,  0, 59,  0,    
  636,  3,         0,      2040,  12907440, nof,  0, 71,  0,    
  637,  3,         0,      2040,  12907440, non,  0, 62, 65,  D4
 1112,  4,        30,      2040,  12907440, ctl,  0, 64,127,    
  638,  3,        40,      2080,  13157440, nof,  0, 62,  0,    
  639,  3,         0,      2080,  13157440, non,  0, 56, 65, G#3
  640,  3,        40,      2120,  13407440, nof,  0, 56,  0,    
  641,  3,         0,      2120,  13407440, non,  0, 46, 65, A#2
 1113,  4,        90,      2130,  13469940, ctl,  0, 64,  0,    
   71,  1,       120,      2160,  13657440, nof,  0, 71,  0,    
   72,  1,         0,      2160,  13657440, nof,  0, 82,  0,    
   73,  1,         0,      2160,  13657440, non,  0, 61, 65, C#4
   74,  1,         0,      2160,  13657440, non,  0, 72, 65,  C5
  642,  3,        40,      2160,  13657440, non,  0, 56, 65, G#3
