UID,trk,dtick,atick,amicro,type,ch,D0,D1,sci_pitch
    0,  0,         0,         0,         0,name,,,,    
    1,  0,         0,         0,         0,copy,,,,    
    2,  0,         0,         0,         0,text,,,,    
    3,  0,         0,         0,         0,tsig,2,2,,    
    4,  0,         0,         0,         0,ksig,,,,    
    5,  0,         0,         0,         0,tempo,143,bpm,,    
   28,  1,         0,         0,         0,port,,,,    
   29,  1,         0,         0,         0,name,,,,    
   30,  1,         0,         0,         0, non,  0, 69, 40,  A4
   31,  1,         0,         0,         0, non,  0, 76, 40,  E5
 1645,  2,         0,         0,         0,port,,,,    
 1646,  2,         0,         0,         0,name,,,,    
 1848,  3,         0,         0,         0,port,,,,    
 1849,  3,         0,         0,         0,name,,,,    
 1850,  3,         0,         0,         0, non,  0, 55, 40,  G3
 3897,  4,         0,         0,         0,port,,,,    
 3898,  4,         0,         0,         0,name,,,,    
 3899,  4,         0,         0,         0, ctl,  0, 64,127,    
 4194,  5,         1,         1,      3472,copy,,,,    
 4195,  5,         0,         1,      3472,eot,,,,    
 1851,  3,        30,        30,    104160, nof,  0, 55,  0,    
 1852,  3,         0,        30,    104160, non,  0, 65, 40,  F4
   32,  1,        40,        40,    138880, nof,  0, 76,  0,    
   33,  1,         0,        40,    138880, nof,  0, 69,  0,    
   34,  1,         0,        40,    138880, non,  0, 71, 40,  B4
   35,  1,         0,        40,    138880, non,  0, 64, 40,  E4
 1853,  3,        30,        60,    208320, nof,  0, 65,  0,    
   36,  1,        40,        80,    277760, nof,  0, 64,  0,    
   37,  1,         0,        80,    277760, nof,  0, 71,  0,    
   38,  1,         0,        80,    277760, non,  0, 69, 40,  A4
   39,  1,         0,        80,    277760, non,  0, 76, 40,  E5
 3900,  4,        90,        90,    312480, ctl,  0, 64,  0,    
   40,  1,        40,       120,    416640, nof,  0, 76,  0,    
   41,  1,         0,       120,    416640, nof,  0, 69,  0,    
   42,  1,         0,       120,    416640, non,  0, 77, 40,  F5
   43,  1,         0,       120,    416640, non,  0, 70, 40, A#4
 1854,  3,        60,       120,    416640, non,  0, 65, 40,  F4
 3901,  4,        30,       120,    416640, ctl,  0, 64,127,    
 1855,  3,        20,       140,    486080, nof,  0, 65,  0,    
 1856,  3,         0,       140,    486080, non,  0, 59, 40,  B3
   44,  1,        40,       160,    555520, nof,  0, 70,  0,    
   45,  1,         0,       160,    555520, nof,  0, 77,  0,    
   46,  1,         0,       160,    555520, non,  0, 82, 40, A#5
   47,  1,         0,       160,    555520, non,  0, 75, 40, D#5
 1857,  3,        20,       160,    555520, nof,  0, 59,  0,    
 1858,  3,         0,       160,    555520, non,  0, 49, 40, C#3
 1859,  3,        20,       180,    624960, nof,  0, 49,  0,    
   48,  1,        40,       200,    694400, nof,  0, 75,  0,    
   49,  1,         0,       200,    694400, nof,  0, 82,  0,    
   50,  1,         0,       200,    694400, non,  0, 77, 40,  F5
   51,  1,         0,       200,    694400, non,  0, 70, 40, A#4
 3902,  4,        90,       210,    729120, ctl,  0, 64,  0,    
   52,  1,        40,       240,    833280, nof,  0, 70,  0,    
   53,  1,         0,       240,    833280, nof,  0, 77,  0,    
   54,  1,         0,       240,    833280, non,  0, 69, 40,  A4
   55,  1,         0,       240,    833280, non,  0, 76, 40,  E5
 1860,  3,        60,       240,    833280, non,  0, 43, 40,  G2
 3903,  4,        30,       240,    833280, ctl,  0, 64,127,    
 1861,  3,        20,       260,    902720, nof,  0, 43,  0,    
 1862,  3,         0,       260,    902720, non,  0, 53, 40,  F3
   56,  1,        40,       280,    972160, nof,  0, 76,  0,    
   57,  1,         0,       280,    972160, nof,  0, 69,  0,    
   58,  1,         0,       280,    972160, non,  0, 71, 40,  B4
   59,  1,         0,       280,    972160, non,  0, 64, 40,  E4
 1863,  3,        20,       280,    972160, nof,  0, 53,  0,    
 1864,  3,         0,       280,    972160, non,  0, 59, 40,  B3
 1865,  3,        20,       300,   1041600, nof,  0, 59,  0,    
   60,  1,        40,       320,   1111040, nof,  0, 64,  0,    
   61,  1,         0,       320,   1111040, nof,  0, 71,  0,    
   62,  1,         0,       320,   1111040, non,  0, 69, 40,  A4
   63,  1,         0,       320,   1111040, non,  0, 76, 40,  E5
 3904,  4,        90,       330,   1145760, ctl,  0, 64,  0,    
   64,  1,        40,       360,   1249920, nof,  0, 76,  0,    
   65,  1,         0,       360,   1249920, nof,  0, 69,  0,    
   66,  1,         0,       360,   1249920, non,  0, 77, 40,  F5
   67,  1,         0,       360,   1249920, non,  0, 70, 40, A#4
 1866,  3,        60,       360,   1249920, non,  0, 65, 40,  F4
 3905,  4,        30,       360,   1249920, ctl,  0, 64,127,    
 1867,  3,        20,       380,   1319360, nof,  0, 65,  0,    
 1868,  3,         0,       380,   1319360, non,  0, 59, 40,  B3
   68,  1,        40,       400,   1388800, nof,  0, 70,  0,    
   69,  1,         0,       400,   1388800, nof,  0, 77,  0,    
   70,  1,         0,       400,   1388800, non,  0, 82, 40, A#5
   71,  1,         0,       400,   1388800, non,  0, 75, 40, D#5
 1869,  3,        20,       400,   1388800, nof,  0, 59,  0,    
 1870,  3,         0,       400,   1388800, non,  0, 49, 40, C#3
 1871,  3,        20,       420,   1458240, nof,  0, 49,  0,    
   72,  1,        40,       440,   1527680, nof,  0, 75,  0,    
   73,  1,         0,       440,   1527680, nof,  0, 82,  0,    
   74,  1,         0,       440,   1527680, non,  0, 77, 40,  F5
   75,  1,         0,       440,   1527680, non,  0, 70, 40, A#4
 3906,  4,        90,       450,   1562400, ctl,  0, 64,  0,    
   76,  1,        40,       480,   1666560, nof,  0, 70,  0,    
   77,  1,         0,       480,   1666560, nof,  0, 77,  0,    
   78,  1,         0,       480,   1666560, non,  0, 69, 40,  A4
   79,  1,         0,       480,   1666560, non,  0, 76, 40,  E5
 1872,  3,        60,       480,   1666560, non,  0, 55, 40,  G3
 3907,  4,        30,       480,   1666560, ctl,  0, 64,127,    
 1873,  3,        30,       510,   1770720, nof,  0, 55,  0,    
 1874,  3,         0,       510,   1770720, non,  0, 65, 40,  F4
   80,  1,        40,       520,   1805440, nof,  0, 76,  0,    
   81,  1,         0,       520,   1805440, nof,  0, 69,  0,    
   82,  1,         0,       520,   1805440, non,  0, 71, 40,  B4
   83,  1,         0,       520,   1805440, non,  0, 64, 40,  E4
 1875,  3,        30,       540,   1874880, nof,  0, 65,  0,    
   84,  1,        40,       560,   1944320, nof,  0, 64,  0,    
   85,  1,         0,       560,   1944320, nof,  0, 71,  0,    
   86,  1,         0,       560,   1944320, non,  0, 69, 40,  A4
   87,  1,         0,       560,   1944320, non,  0, 76, 40,  E5
 3908,  4,        90,       570,   1979040, ctl,  0, 64,  0,    
   88,  1,        40,       600,   2083200, nof,  0, 76,  0,    
   89,  1,         0,       600,   2083200, nof,  0, 69,  0,    
   90,  1,         0,       600,   2083200, non,  0, 77, 50,  F5
   91,  1,         0,       600,   2083200, non,  0, 70, 50, A#4
 1876,  3,        60,       600,   2083200, non,  0, 65, 50,  F4
 3909,  4,        30,       600,   2083200, ctl,  0, 64,127,    
 1877,  3,        20,       620,   2152640, nof,  0, 65,  0,    
 1878,  3,         0,       620,   2152640, non,  0, 59, 50,  B3
   92,  1,        40,       640,   2222080, nof,  0, 70,  0,    
   93,  1,         0,       640,   2222080, nof,  0, 77,  0,    
   94,  1,         0,       640,   2222080, non,  0, 82, 50, A#5
   95,  1,         0,       640,   2222080, non,  0, 75, 50, D#5
 1879,  3,        20,       640,   2222080, nof,  0, 59,  0,    
 1880,  3,         0,       640,   2222080, non,  0, 49, 50, C#3
 1881,  3,        20,       660,   2291520, nof,  0, 49,  0,    
   96,  1,        40,       680,   2360960, nof,  0, 75,  0,    
   97,  1,         0,       680,   2360960, nof,  0, 82,  0,    
   98,  1,         0,       680,   2360960, non,  0, 77, 50,  F5
   99,  1,         0,       680,   2360960, non,  0, 70, 50, A#4
 3910,  4,        90,       690,   2395680, ctl,  0, 64,  0,    
  100,  1,        40,       720,   2499840, nof,  0, 70,  0,    
  101,  1,         0,       720,   2499840, nof,  0, 77,  0,    
  102,  1,         0,       720,   2499840, non,  0, 78, 50, F#5
  103,  1,         0,       720,   2499840, non,  0, 71, 50,  B4
 1882,  3,        60,       720,   2499840, non,  0, 45, 50,  A2
 3911,  4,        30,       720,   2499840, ctl,  0, 64,127,    
 1883,  3,        20,       740,   2569280, nof,  0, 45,  0,    
 1884,  3,         0,       740,   2569280, non,  0, 55, 50,  G3
  104,  1,        40,       760,   2638720, nof,  0, 71,  0,    
  105,  1,         0,       760,   2638720, nof,  0, 78,  0,    
  106,  1,         0,       760,   2638720, non,  0, 73, 50, C#5
