UID,trk,dtick,atick,amicro,type,ch,D0,D1,sci_pitch
    0,  0,         0,         0,         0,name,,,,    
    1,  0,         0,         0,         0,copy,,,,    
    2,  0,         0,         0,         0,text,,,,    
    3,  0,         0,         0,         0,tsig,4,2,,    
    4,  0,         0,         0,         0,ksig,,,,    
    5,  0,         0,         0,         0,tempo,91,bpm,,    
   20,  1,         0,         0,         0,port,,,,    
   21,  1,         0,         0,         0,name,,,,    
   65,  2,         0,         0,         0,port,,,,    
   66,  2,         0,         0,         0,name,,,,    
   74,  3,         0,         0,         0,port,,,,    
   75,  3,         0,         0,         0,name,,,,    
   76,  3,         0,         0,         0, non,  0, 66,100, F#4
  829,  4,         0,         0,         0,port,,,,    
  830,  4,         0,         0,         0,name,,,,    
  862,  5,         0,         0,         0,port,,,,    
  863,  5,         0,         0,         0,name,,,,    
  897,  6,         0,         0,         0,port,,,,    
  898,  6,         0,         0,         0,name,,,,    
  899,  6,         0,         0,         0, ctl,  0, 64,127,    
  900,  6,         0,         0,         0, non,  0, 42,100, F#2
 1776,  7,         1,         1,      5434,copy,,,,    
 1777,  7,         0,         1,      5434,eot,,,,    
   77,  3,        24,        24,    130416, nof,  0, 66,  0,    
   78,  3,         0,        24,    130416, non,  0, 68,100, G#4
  901,  6,        40,        40,    217360, nof,  0, 42,  0,    
  902,  6,         0,        40,    217360, non,  0, 49,100, C#3
   79,  3,        24,        48,    260832, nof,  0, 68,  0,    
   80,  3,         0,        48,    260832, non,  0, 73,100, C#5
   81,  3,        24,        72,    391248, nof,  0, 73,  0,    
   82,  3,         0,        72,    391248, non,  0, 66,100, F#4
  903,  6,        40,        80,    434720, nof,  0, 49,  0,    
  904,  6,         0,        80,    434720, non,  0, 61,100, C#4
   83,  3,        24,        96,    521664, nof,  0, 66,  0,    
   84,  3,         0,        96,    521664, non,  0, 71,100,  B4
   85,  3,        24,       120,    652080, nof,  0, 71,  0,    
   86,  3,         0,       120,    652080, non,  0, 69,110,  A4
  905,  6,        40,       120,    652080, nof,  0, 61,  0,    
  906,  6,         0,       120,    652080, ctl,  0, 64,  0,    
  907,  6,         0,       120,    652080, non,  0, 60,110,  C4
   87,  3,        10,       130,    706420, nof,  0, 69,  0,    
   88,  3,        10,       140,    760760, non,  0, 64,110,  E4
   89,  3,        10,       150,    815100, nof,  0, 64,  0,    
   90,  3,        10,       160,    869440, non,  0, 63,110, D#4
  908,  6,        40,       160,    869440, nof,  0, 60,  0,    
  909,  6,         0,       160,    869440, non,  0, 54,110, F#3
   91,  3,        10,       170,    923780, nof,  0, 63,  0,    
   92,  3,        10,       180,    978120, non,  0, 68,110, G#4
   93,  3,        10,       190,   1032460, nof,  0, 68,  0,    
   94,  3,        10,       200,   1086800, non,  0, 62,110,  D4
  910,  6,        40,       200,   1086800, nof,  0, 54,  0,    
  911,  6,         0,       200,   1086800, non,  0, 49,110, C#3
   95,  3,        10,       210,   1141140, nof,  0, 62,  0,    
   96,  3,        10,       220,   1195480, non,  0, 66,110, F#4
   97,  3,        10,       230,   1249820, nof,  0, 66,  0,    
   98,  3,        10,       240,   1304160, non,  0, 61,120, C#4
  912,  6,        40,       240,   1304160, nof,  0, 49,  0,    
  913,  6,         0,       240,   1304160, ctl,  0, 64,127,    
  914,  6,         0,       240,   1304160, non,  0, 42, 80, F#2
  915,  6,        30,       270,   1467180, nof,  0, 42,  0,    
  916,  6,         0,       270,   1467180, non,  0, 49, 80, C#3
  917,  6,        30,       300,   1630200, nof,  0, 49,  0,    
  918,  6,         0,       300,   1630200, non,  0, 57, 80,  A3
  919,  6,        45,       345,   1874730, nof,  0, 57,  0,    
  920,  6,         0,       345,   1874730, non,  0, 65, 80,  F4
  921,  6,        15,       360,   1956240, nof,  0, 65,  0,    
  922,  6,         0,       360,   1956240, non,  0, 66, 80, F#4
  923,  6,        30,       390,   2119260, nof,  0, 66,  0,    
  924,  6,         0,       390,   2119260, non,  0, 57, 80,  A3
  925,  6,        30,       420,   2282280, nof,  0, 57,  0,    
  926,  6,         0,       420,   2282280, non,  0, 49, 80, C#3
  927,  6,        30,       450,   2445300, nof,  0, 49,  0,    
  928,  6,         0,       450,   2445300, ctl,  0, 64,  0,    
  929,  6,         0,       450,   2445300, non,  0, 42, 80, F#2
   99,  3,       240,       480,   2608320, nof,  0, 61,  0,    
  100,  3,         0,       480,   2608320, non,  0, 71, 90,  B4
  930,  6,        30,       480,   2608320, nof,  0, 42,  0,    
  931,  6,         0,       480,   2608320, non,  0, 42, 90, F#2
  932,  6,         0,       480,   2608320, ctl,  0, 64,127,    
  101,  3,        24,       504,   2738736, nof,  0, 71,  0,    
  102,  3,         0,       504,   2738736, non,  0, 73, 90, C#5
  933,  6,        40,       520,   2825680, nof,  0, 42,  0,    
  934,  6,         0,       520,   2825680, non,  0, 50, 90,  D3
  103,  3,        24,       528,   2869152, nof,  0, 73,  0,    
  104,  3,         0,       528,   2869152, non,  0, 78, 90, F#5
  105,  3,        24,       552,   2999568, nof,  0, 78,  0,    
  106,  3,         0,       552,   2999568, non,  0, 71, 90,  B4
  935,  6,        40,       560,   3043040, nof,  0, 50,  0,    
  936,  6,         0,       560,   3043040, non,  0, 59, 90,  B3
  107,  3,        24,       576,   3129984, nof,  0, 71,  0,    
  108,  3,         0,       576,   3129984, non,  0, 76, 90,  E5
  109,  3,        24,       600,   3260400, nof,  0, 76,  0,    
  110,  3,         0,       600,   3260400, non,  0, 74,100,  D5
  937,  6,        40,       600,   3260400, nof,  0, 59,  0,    
  938,  6,         0,       600,   3260400, non,  0, 66,100, F#4
  939,  6,         0,       600,   3260400, ctl,  0, 64,  0,    
  111,  3,        10,       610,   3314740, nof,  0, 74,  0,    
  112,  3,        10,       620,   3369080, non,  0, 69,100,  A4
  113,  3,        10,       630,   3423420, nof,  0, 69,  0,    
  940,  6,        30,       630,   3423420, nof,  0, 66,  0,    
  941,  6,         0,       630,   3423420, non,  0, 65,100,  F4
  114,  3,        10,       640,   3477760, non,  0, 68,100, G#4
  115,  3,        10,       650,   3532100, nof,  0, 68,  0,    
  116,  3,        10,       660,   3586440, non,  0, 73,100, C#5
  942,  6,        30,       660,   3586440, nof,  0, 65,  0,    
  943,  6,         0,       660,   3586440, non,  0, 59,100,  B3
  117,  3,        10,       670,   3640780, nof,  0, 73,  0,    
  118,  3,        10,       680,   3695120, non,  0, 67,100,  G4
  119,  3,        10,       690,   3749460, nof,  0, 67,  0,    
  944,  6,        30,       690,   3749460, nof,  0, 59,  0,    
  945,  6,         0,       690,   3749460, non,  0, 50,100,  D3
  120,  3,        10,       700,   3803800, non,  0, 71,100,  B4
  121,  3,        10,       710,   3858140, nof,  0, 71,  0,    
  122,  3,        10,       720,   3912480, non,  0, 66,120, F#4
  946,  6,        30,       720,   3912480, nof,  0, 50,  0,    
  947,  6,         0,       720,   3912480, non,  0, 42, 80, F#2
  948,  6,         0,       720,   3912480, ctl,  0, 64,127,    
  949,  6,        30,       750,   4075500, nof,  0, 42,  0,    
  950,  6,         0,       750,   4075500, non,  0, 50, 80,  D3
  951,  6,        30,       780,   4238520, nof,  0, 50,  0,    
  952,  6,         0,       780,   4238520, non,  0, 59, 80,  B3
  953,  6,        45,       825,   4483050, nof,  0, 59,  0,    
  954,  6,         0,       825,   4483050, non,  0, 66, 80, F#4
  955,  6,        15,       840,   4564560, nof,  0, 66,  0,    
  956,  6,         0,       840,   4564560, non,  0, 68, 80, G#4
  957,  6,        30,       870,   4727580, nof,  0, 68,  0,    
  958,  6,         0,       870,   4727580, non,  0, 59, 80,  B3
  959,  6,        30,       900,   4890600, nof,  0, 59,  0,    
  960,  6,         0,       900,   4890600, non,  0, 50, 80,  D3
  961,  6,        30,       930,   5053620, nof,  0, 50,  0,    
  962,  6,         0,       930,   5053620, non,  0, 42, 80, F#2
  963,  6,         0,       930,   5053620, ctl,  0, 64,  0,    
  123,  3,       240,       960,   5216640, nof,  0, 66,  0,    
  124,  3,         0,       960,   5216640, non,  0, 73, 80, C#5
  964,  6,        30,       960,   5216640, nof,  0, 42,  0,    
  965,  6,         0,       960,   5216640, non,  0, 42, 80, F#2
  966,  6,         0,       960,   5216640, ctl,  0, 64,127,    
  125,  3,        24,       984,   5347056, nof,  0, 73,  0,    
  126,  3,         0,       984,   5347056, non,  0, 74, 80,  D5
  967,  6,        40,      1000,   5434000, nof,  0, 42,  0,    
  968,  6,         0,      1000,   5434000, non,  0, 49, 80, C#3
  127,  3,        24,      1008,   5477472, nof,  0, 74,  0,    
  128,  3,         0,      1008,   5477472, non,  0, 80, 80, G#5
  129,  3,        24,      1032,   5607888, nof,  0, 80,  0,    
