UID,trk,dtick,atick,amicro,type,ch,D0,D1,sci_pitch
    0,  0,         0,         0,         0,name,,,,    
    1,  0,         0,         0,         0,copy,,,,    
    2,  0,         0,         0,         0,text,,,,    
    3,  0,         0,         0,         0,tsig,6,3,,    
    4,  0,         0,         0,         0,ksig,,,,    
    5,  0,         0,         0,         0,tempo,240,bpm,,    
    9,  1,         0,         0,         0,port,,,,    
   10,  1,         0,         0,         0,name,,,,    
   11,  1,         0,         0,         0, non,  0, 66, 60, F#4
 1858,  2,         0,         0,         0,port,,,,    
 1859,  2,         0,         0,         0,name,,,,    
 1917,  3,         0,         0,         0,port,,,,    
 1918,  3,         0,         0,         0,name,,,,    
 2210,  4,         0,         0,         0,port,,,,    
 2211,  4,         0,         0,         0,name,,,,    
 2212,  4,         0,         0,         0, ctl,  0, 64,127,    
 2213,  4,         0,         0,         0, non,  0, 47, 60,  B2
 2214,  4,         0,         0,         0, non,  0, 59, 60,  B3
 4451,  5,         1,         1,      2083,copy,,,,    
 4452,  5,         0,         1,      2083,eot,,,,    
   12,  1,        60,        60,    124980, nof,  0, 66,  0,    
   13,  1,         0,        60,    124980, non,  0, 74, 60,  D5
   14,  1,         0,        60,    124980, non,  0, 62, 60,  D4
 2215,  4,        60,        60,    124980, nof,  0, 59,  0,    
 2216,  4,         0,        60,    124980, nof,  0, 47,  0,    
 2217,  4,         0,        60,    124980, non,  0, 54, 60, F#3
   15,  1,        60,       120,    249960, nof,  0, 62,  0,    
   16,  1,         0,       120,    249960, nof,  0, 74,  0,    
   17,  1,         0,       120,    249960, non,  0, 66, 60, F#4
 2218,  4,        60,       120,    249960, nof,  0, 54,  0,    
 2219,  4,         0,       120,    249960, ctl,  0, 64,  0,    
 2220,  4,         0,       120,    249960, non,  0, 46, 60, A#2
 2221,  4,         0,       120,    249960, non,  0, 58, 60, A#3
   18,  1,        60,       180,    374940, nof,  0, 66,  0,    
   19,  1,         0,       180,    374940, non,  0, 74, 60,  D5
   20,  1,         0,       180,    374940, non,  0, 62, 60,  D4
 2222,  4,        60,       180,    374940, nof,  0, 58,  0,    
 2223,  4,         0,       180,    374940, nof,  0, 46,  0,    
 2224,  4,         0,       180,    374940, ctl,  0, 64,127,    
 2225,  4,         0,       180,    374940, non,  0, 54, 60, F#3
   21,  1,        60,       240,    499920, nof,  0, 62,  0,    
   22,  1,         0,       240,    499920, nof,  0, 74,  0,    
   23,  1,         0,       240,    499920, non,  0, 62, 60,  D4
 2226,  4,        60,       240,    499920, nof,  0, 54,  0,    
 2227,  4,         0,       240,    499920, non,  0, 42, 60, F#2
 2228,  4,         0,       240,    499920, non,  0, 54, 60, F#3
   24,  1,        60,       300,    624900, nof,  0, 62,  0,    
   25,  1,         0,       300,    624900, non,  0, 58, 60, A#3
   26,  1,         0,       300,    624900, non,  0, 70, 60, A#4
 2229,  4,        60,       300,    624900, nof,  0, 54,  0,    
 2230,  4,         0,       300,    624900, nof,  0, 42,  0,    
 2231,  4,         0,       300,    624900, ctl,  0, 64,  0,    
 2232,  4,         0,       300,    624900, non,  0, 50, 60,  D3
   27,  1,        60,       360,    749880, nof,  0, 70,  0,    
   28,  1,         0,       360,    749880, nof,  0, 58,  0,    
   29,  1,         0,       360,    749880, non,  0, 71, 70,  B4
 2233,  4,        60,       360,    749880, nof,  0, 50,  0,    
 2234,  4,         0,       360,    749880, ctl,  0, 64,127,    
 2235,  4,         0,       360,    749880, non,  0, 62, 70,  D4
 2236,  4,         0,       360,    749880, non,  0, 50, 70,  D3
   30,  1,        60,       420,    874860, nof,  0, 71,  0,    
   31,  1,         0,       420,    874860, non,  0, 78, 70, F#5
   32,  1,         0,       420,    874860, non,  0, 66, 70, F#4
 2237,  4,        60,       420,    874860, nof,  0, 50,  0,    
 2238,  4,         0,       420,    874860, nof,  0, 62,  0,    
 2239,  4,         0,       420,    874860, non,  0, 59, 70,  B3
   33,  1,        60,       480,    999840, nof,  0, 66,  0,    
   34,  1,         0,       480,    999840, nof,  0, 78,  0,    
   35,  1,         0,       480,    999840, non,  0, 71, 70,  B4
 2240,  4,        60,       480,    999840, nof,  0, 59,  0,    
 2241,  4,         0,       480,    999840, ctl,  0, 64,  0,    
 2242,  4,         0,       480,    999840, non,  0, 49, 70, C#3
 2243,  4,         0,       480,    999840, non,  0, 61, 70, C#4
   36,  1,        60,       540,   1124820, nof,  0, 71,  0,    
   37,  1,         0,       540,   1124820, non,  0, 77, 80,  F5
   38,  1,         0,       540,   1124820, non,  0, 65, 80,  F4
 2244,  4,        60,       540,   1124820, nof,  0, 61,  0,    
 2245,  4,         0,       540,   1124820, nof,  0, 49,  0,    
 2246,  4,         0,       540,   1124820, ctl,  0, 64,127,    
 2247,  4,         0,       540,   1124820, non,  0, 59, 80,  B3
   39,  1,        60,       600,   1249800, nof,  0, 65,  0,    
   40,  1,         0,       600,   1249800, nof,  0, 77,  0,    
   41,  1,         0,       600,   1249800, non,  0, 71, 80,  B4
 2248,  4,        60,       600,   1249800, nof,  0, 59,  0,    
 2249,  4,         0,       600,   1249800, non,  0, 67, 80,  G4
 2250,  4,         0,       600,   1249800, non,  0, 55, 80,  G3
   42,  1,        60,       660,   1374780, nof,  0, 71,  0,    
   43,  1,         0,       660,   1374780, non,  0, 76, 80,  E5
   44,  1,         0,       660,   1374780, non,  0, 64, 80,  E4
 2251,  4,        60,       660,   1374780, nof,  0, 55,  0,    
 2252,  4,         0,       660,   1374780, nof,  0, 67,  0,    
 2253,  4,         0,       660,   1374780, ctl,  0, 64,  0,    
 2254,  4,         0,       660,   1374780, non,  0, 61, 80, C#4
    6,  0,       720,       720,   1499760,tempo,240,bpm,,    
   45,  1,        60,       720,   1499760, nof,  0, 64,  0,    
   46,  1,         0,       720,   1499760, nof,  0, 76,  0,    
   47,  1,         0,       720,   1499760, non,  0, 71, 90,  B4
 2255,  4,        60,       720,   1499760, nof,  0, 61,  0,    
 2256,  4,         0,       720,   1499760, non,  0, 66, 90, F#4
 2257,  4,         0,       720,   1499760, non,  0, 54, 90, F#3
 2258,  4,         0,       720,   1499760, ctl,  0, 64,127,    
   48,  1,        60,       780,   1624740, nof,  0, 71,  0,    
   49,  1,         0,       780,   1624740, non,  0, 62, 90,  D4
   50,  1,         0,       780,   1624740, non,  0, 74, 90,  D5
 2259,  4,        60,       780,   1624740, nof,  0, 54,  0,    
 2260,  4,         0,       780,   1624740, nof,  0, 66,  0,    
 2261,  4,         0,       780,   1624740, non,  0, 59, 90,  B3
   51,  1,        60,       840,   1749720, nof,  0, 74,  0,    
   52,  1,         0,       840,   1749720, nof,  0, 62,  0,    
   53,  1,         0,       840,   1749720, non,  0, 67, 90,  G4
 2262,  4,        60,       840,   1749720, nof,  0, 59,  0,    
 2263,  4,         0,       840,   1749720, non,  0, 52, 90,  E3
 2264,  4,         0,       840,   1749720, non,  0, 64, 90,  E4
 2265,  4,         0,       840,   1749720, ctl,  0, 64,  0,    
   54,  1,        60,       900,   1874700, nof,  0, 67,  0,    
   55,  1,         0,       900,   1874700, non,  0, 61, 80, C#4
   56,  1,         0,       900,   1874700, non,  0, 73, 80, C#5
 2266,  4,        60,       900,   1874700, nof,  0, 64,  0,    
 2267,  4,         0,       900,   1874700, nof,  0, 52,  0,    
 2268,  4,         0,       900,   1874700, non,  0, 59, 80,  B3
 2269,  4,         0,       900,   1874700, ctl,  0, 64,127,    
   57,  1,        60,       960,   1999680, nof,  0, 73,  0,    
   58,  1,         0,       960,   1999680, nof,  0, 61,  0,    
   59,  1,         0,       960,   1999680, non,  0, 64, 80,  E4
 2270,  4,        60,       960,   1999680, nof,  0, 59,  0,    
 2271,  4,         0,       960,   1999680, non,  0, 50, 80,  D3
 2272,  4,         0,       960,   1999680, non,  0, 62, 80,  D4
   60,  1,        60,      1020,   2124660, nof,  0, 64,  0,    
   61,  1,         0,      1020,   2124660, non,  0, 59, 80,  B3
   62,  1,         0,      1020,   2124660, non,  0, 71, 80,  B4
 2273,  4,        60,      1020,   2124660, nof,  0, 62,  0,    
 2274,  4,         0,      1020,   2124660, nof,  0, 50,  0,    
 2275,  4,         0,      1020,   2124660, non,  0, 55, 80,  G3
 2276,  4,         0,      1020,   2124660, ctl,  0, 64,  0,    
   63,  1,        60,      1080,   2249640, nof,  0, 71,  0,    
   64,  1,         0,      1080,   2249640, nof,  0, 59,  0,    
   65,  1,         0,      1080,   2249640, non,  0, 64, 70,  E4
 2277,  4,        60,      1080,   2249640, nof,  0, 55,  0,    
 2278,  4,         0,      1080,   2249640, non,  0, 61, 70, C#4
 2279,  4,         0,      1080,   2249640, non,  0, 49, 70, C#3
