UID,trk,dtick,atick,amicro,type,ch,D0,D1,sci_pitch
    0,  0,         0,         0,         0,name,,,,    
    1,  0,         0,         0,         0,copy,,,,    
    2,  0,         0,         0,         0,text,,,,    
    3,  0,         0,         0,         0,tsig,4,2,,    
    4,  0,         0,         0,         0,ksig,,,,    
    5,  0,         0,         0,         0,tempo,128,bpm,,    
   16,  1,         0,         0,         0,port,,,,    
   17,  1,         0,         0,         0,name,,,,    
   18,  1,         0,         0,         0, non,  0, 56, 60, G#3
   19,  1,         0,         0,         0, non,  0, 68, 60, G#4
 3195,  2,         0,         0,         0,port,,,,    
 3196,  2,         0,         0,         0,name,,,,    
 3428,  3,         0,         0,         0,port,,,,    
 3429,  3,         0,         0,         0,name,,,,    
 3733,  4,         0,         0,         0,port,,,,    
 3734,  4,         0,         0,         0,name,,,,    
 3735,  4,         0,         0,         0, non,  0, 40, 60,  E2
 3736,  4,         0,         0,         0, non,  0, 52, 60,  E3
 7378,  5,         0,         0,         0,port,,,,    
 7379,  5,         0,         0,         0,name,,,,    
 7879,  6,         1,         1,      3906,copy,,,,    
 7880,  6,         0,         1,      3906,eot,,,,    
 3737,  4,        20,        20,     78120, nof,  0, 52,  0,    
 3738,  4,         0,        20,     78120, nof,  0, 40,  0,    
 3739,  4,        20,        40,    156240, non,  0, 42, 60, F#2
 3740,  4,         0,        40,    156240, non,  0, 54, 60, F#3
 3741,  4,        20,        60,    234360, nof,  0, 54,  0,    
 3742,  4,         0,        60,    234360, nof,  0, 42,  0,    
 3743,  4,        20,        80,    312480, non,  0, 32, 60, G#1
 3744,  4,         0,        80,    312480, non,  0, 44, 60, G#2
 3745,  4,        20,       100,    390600, nof,  0, 44,  0,    
 3746,  4,         0,       100,    390600, nof,  0, 32,  0,    
 3747,  4,        20,       120,    468720, non,  0, 39, 60, D#2
 3748,  4,         0,       120,    468720, non,  0, 51, 60, D#3
 3749,  4,        20,       140,    546840, nof,  0, 51,  0,    
 3750,  4,         0,       140,    546840, nof,  0, 39,  0,    
   20,  1,       150,       150,    585900, nof,  0, 68,  0,    
   21,  1,         0,       150,    585900, nof,  0, 56,  0,    
   22,  1,         0,       150,    585900, non,  0, 56, 60, G#3
   23,  1,         0,       150,    585900, non,  0, 68, 60, G#4
 3751,  4,        20,       160,    624960, non,  0, 40, 60,  E2
 3752,  4,         0,       160,    624960, non,  0, 52, 60,  E3
   24,  1,        30,       180,    703080, nof,  0, 68,  0,    
   25,  1,         0,       180,    703080, nof,  0, 56,  0,    
   26,  1,         0,       180,    703080, non,  0, 68, 60, G#4
   27,  1,         0,       180,    703080, non,  0, 56, 60, G#3
 3753,  4,        20,       180,    703080, nof,  0, 52,  0,    
 3754,  4,         0,       180,    703080, nof,  0, 40,  0,    
 3755,  4,        20,       200,    781200, non,  0, 32, 60, G#1
 3756,  4,         0,       200,    781200, non,  0, 44, 60, G#2
   28,  1,        30,       210,    820260, nof,  0, 56,  0,    
   29,  1,         0,       210,    820260, nof,  0, 68,  0,    
   30,  1,         0,       210,    820260, non,  0, 56, 60, G#3
   31,  1,         0,       210,    820260, non,  0, 68, 60, G#4
 3757,  4,        20,       220,    859320, nof,  0, 44,  0,    
 3758,  4,         0,       220,    859320, nof,  0, 32,  0,    
   32,  1,        30,       240,    937440, nof,  0, 68,  0,    
   33,  1,         0,       240,    937440, nof,  0, 56,  0,    
   34,  1,         0,       240,    937440, non,  0, 56, 60, G#3
   35,  1,         0,       240,    937440, non,  0, 68, 60, G#4
 3759,  4,        20,       240,    937440, non,  0, 37, 60, C#2
 3760,  4,         0,       240,    937440, non,  0, 49, 60, C#3
 3761,  4,        20,       260,   1015560, nof,  0, 49,  0,    
 3762,  4,         0,       260,   1015560, nof,  0, 37,  0,    
 3763,  4,        20,       280,   1093680, non,  0, 39, 60, D#2
 3764,  4,         0,       280,   1093680, non,  0, 51, 60, D#3
 3765,  4,        20,       300,   1171800, nof,  0, 51,  0,    
 3766,  4,         0,       300,   1171800, nof,  0, 39,  0,    
 3767,  4,        20,       320,   1249920, non,  0, 32, 60, G#1
 3768,  4,         0,       320,   1249920, non,  0, 44, 60, G#2
 3769,  4,        20,       340,   1328040, nof,  0, 44,  0,    
 3770,  4,         0,       340,   1328040, nof,  0, 32,  0,    
   36,  1,       120,       360,   1406160, nof,  0, 68,  0,    
   37,  1,         0,       360,   1406160, nof,  0, 56,  0,    
   38,  1,         0,       360,   1406160, non,  0, 56, 60, G#3
   39,  1,         0,       360,   1406160, non,  0, 68, 60, G#4
 3771,  4,        20,       360,   1406160, non,  0, 35, 60,  B1
 3772,  4,         0,       360,   1406160, non,  0, 47, 60,  B2
 3773,  4,        20,       380,   1484280, nof,  0, 47,  0,    
 3774,  4,         0,       380,   1484280, nof,  0, 35,  0,    
 3775,  4,        20,       400,   1562400, non,  0, 37, 60, C#2
 3776,  4,         0,       400,   1562400, non,  0, 49, 60, C#3
 3777,  4,        20,       420,   1640520, nof,  0, 49,  0,    
 3778,  4,         0,       420,   1640520, nof,  0, 37,  0,    
 3779,  4,        20,       440,   1718640, non,  0, 32, 60, G#1
 3780,  4,         0,       440,   1718640, non,  0, 44, 60, G#2
 3781,  4,        20,       460,   1796760, nof,  0, 44,  0,    
 3782,  4,         0,       460,   1796760, nof,  0, 32,  0,    
   40,  1,       120,       480,   1874880, nof,  0, 68,  0,    
   41,  1,         0,       480,   1874880, nof,  0, 56,  0,    
   42,  1,         0,       480,   1874880, non,  0, 56, 60, G#3
   43,  1,         0,       480,   1874880, non,  0, 68, 60, G#4
 3783,  4,        20,       480,   1874880, non,  0, 34, 60, A#1
 3784,  4,         0,       480,   1874880, non,  0, 46, 60, A#2
 3785,  4,        20,       500,   1953000, nof,  0, 46,  0,    
 3786,  4,         0,       500,   1953000, nof,  0, 34,  0,    
 3787,  4,        20,       520,   2031120, non,  0, 35, 60,  B1
 3788,  4,         0,       520,   2031120, non,  0, 47, 60,  B2
 3789,  4,        20,       540,   2109240, nof,  0, 47,  0,    
 3790,  4,         0,       540,   2109240, nof,  0, 35,  0,    
 3791,  4,        20,       560,   2187360, non,  0, 32, 60, G#1
 3792,  4,         0,       560,   2187360, non,  0, 44, 60, G#2
 3793,  4,        20,       580,   2265480, nof,  0, 44,  0,    
 3794,  4,         0,       580,   2265480, nof,  0, 32,  0,    
   44,  1,       120,       600,   2343600, nof,  0, 68,  0,    
   45,  1,         0,       600,   2343600, nof,  0, 56,  0,    
   46,  1,         0,       600,   2343600, non,  0, 80,100, G#5
   47,  1,         0,       600,   2343600, non,  0, 75,100, D#5
   48,  1,         0,       600,   2343600, non,  0, 68,100, G#4
 3795,  4,        20,       600,   2343600, non,  0, 63,100, D#4
 3796,  4,         0,       600,   2343600, non,  0, 71,100,  B4
 3797,  4,         0,       600,   2343600, non,  0, 59,100,  B3
 7380,  5,       600,       600,   2343600, ctl,  0, 64,127,    
 3798,  4,        40,       640,   2499840, nof,  0, 59,  0,    
 3799,  4,         0,       640,   2499840, nof,  0, 71,  0,    
 3800,  4,         0,       640,   2499840, non,  0, 70,100, A#4
 3801,  4,         0,       640,   2499840, non,  0, 58,100, A#3
 3802,  4,        40,       680,   2656080, nof,  0, 58,  0,    
 3803,  4,         0,       680,   2656080, nof,  0, 70,  0,    
 3804,  4,         0,       680,   2656080, non,  0, 68,100, G#4
 3805,  4,         0,       680,   2656080, non,  0, 56,100, G#3
 7381,  5,       115,       715,   2792790, ctl,  0, 64,  0,    
   49,  1,       120,       720,   2812320, nof,  0, 68,  0,    
   50,  1,         0,       720,   2812320, nof,  0, 75,  0,    
   51,  1,         0,       720,   2812320, nof,  0, 80,  0,    
   52,  1,         0,       720,   2812320, non,  0, 83,100,  B5
   53,  1,         0,       720,   2812320, non,  0, 75,100, D#5
   54,  1,         0,       720,   2812320, non,  0, 71,100,  B4
 3806,  4,        40,       720,   2812320, nof,  0, 56,  0,    
 3807,  4,         0,       720,   2812320, nof,  0, 68,  0,    
 3808,  4,         0,       720,   2812320, nof,  0, 63,  0,    
 3809,  4,         0,       720,   2812320, non,  0, 59,100,  B3
 3810,  4,         0,       720,   2812320, non,  0, 66,100, F#4
 3811,  4,         0,       720,   2812320, non,  0, 54,100, F#3
 7382,  5,         5,       720,   2812320, ctl,  0, 64,127,    
 3812,  4,        40,       760,   2968560, nof,  0, 54,  0,    
 3813,  4,         0,       760,   2968560, nof,  0, 66,  0,    
 3814,  4,         0,       760,   2968560, non,  0, 68,100, G#4
 3815,  4,         0,       760,   2968560, non,  0, 56,100, G#3
 3816,  4,        40,       800,   3124800, nof,  0, 56,  0,    
