UID,trk,dtick,atick,amicro,type,ch,D0,D1,sci_pitch
    0,  0,         0,         0,         0,tsig,1,2,,    
    1,  0,         0,         0,         0,ksig,,,,    
    2,  0,         0,         0,         0,tempo,50,bpm,,    
   93,  1,         0,         0,         0,name,,,,    
   94,  1,         0,         0,         0, pgm,  0,  1,  0,    
   95,  1,         0,         0,         0, ctl,  0, 64,  0,    
   96,  1,         0,         0,         0, ctl,  0, 64,  0,    
  931,  2,         1,         1,      1171,copy,,,,    
  932,  2,         0,         1,      1171,eot,,,,    
    3,  0,      1024,      1024,   1199104,tsig,1,2,,    
    4,  0,         0,      1024,   1199104,tempo,55,bpm,,    
   97,  1,      1024,      1024,   1199104, ctl,  0, 64,  0,    
   98,  1,         0,      1024,   1199104, ctl,  0, 64,  0,    
   99,  1,         0,      1024,   1199104, non,  0, 64, 27,  E4
  100,  1,         0,      1024,   1199104, non,  0, 72, 43,  C5
  101,  1,         0,      1024,   1199104, non,  0, 49,  7, C#3
  102,  1,         0,      1024,   1199104, non,  0, 57, 19,  A3
  103,  1,       244,      1268,   1458964, ctl,  0, 64,127,    
    5,  0,      1024,      2048,   2289664,tsig,3,2,,    
    6,  0,         0,      2048,   2289664,tempo,50,bpm,,    
  104,  1,       780,      2048,   2289664, ctl,  0, 64,127,    
  105,  1,         0,      2048,   2289664, ctl,  0, 64,  0,    
  106,  1,         0,      2048,   2289664, nof,  0, 64,  0,    
  107,  1,         0,      2048,   2289664, nof,  0, 72,  0,    
  108,  1,         0,      2048,   2289664, nof,  0, 49,  0,    
  109,  1,         0,      2048,   2289664, nof,  0, 57,  0,    
  110,  1,         0,      2048,   2289664, non,  0, 60, 25,  C4
  111,  1,         0,      2048,   2289664, non,  0, 71, 50,  B4
  112,  1,         0,      2048,   2289664, non,  0, 53, 16,  F3
  113,  1,         0,      2048,   2289664, non,  0, 56, 16, G#3
  114,  1,       101,      2149,   2407935, ctl,  0, 64,  0,    
  115,  1,       202,      2351,   2644477, ctl,  0, 64,127,    
    7,  0,      1024,      3072,   3488768,tempo,55,bpm,,    
  116,  1,       721,      3072,   3488768, nof,  0, 60,  0,    
  117,  1,         0,      3072,   3488768, non,  0, 63, 27, D#4
  118,  1,         0,      3072,   3488768, nof,  0, 56,  0,    
  119,  1,         0,      3072,   3488768, non,  0, 57, 16,  A3
  120,  1,        27,      3099,   3517523, ctl,  0, 64,  0,    
  121,  1,       283,      3382,   3818918, ctl,  0, 64,127,    
    8,  0,       512,      3584,   4034048,tempo,50,bpm,,    
  122,  1,       202,      3584,   4034048, nof,  0, 71,  0,    
  123,  1,         0,      3584,   4034048, non,  0, 68, 39, G#4
    9,  0,       512,      4096,   4633600,tempo,45,bpm,,    
  124,  1,       512,      4096,   4633600, nof,  0, 63,  0,    
  125,  1,         0,      4096,   4633600, nof,  0, 68,  0,    
  126,  1,         0,      4096,   4633600, non,  0, 64, 25,  E4
  127,  1,         0,      4096,   4633600, non,  0, 75, 52, D#5
  128,  1,         0,      4096,   4633600, nof,  0, 53,  0,    
  129,  1,         0,      4096,   4633600, nof,  0, 57,  0,    
  130,  1,         0,      4096,   4633600, non,  0, 49,  9, C#3
  131,  1,         0,      4096,   4633600, non,  0, 57,  9,  A3
  132,  1,        54,      4150,   4703908, ctl,  0, 64,  0,    
  133,  1,       263,      4413,   5046334, ctl,  0, 64,127,    
   10,  0,       512,      4608,   5300224,tempo,55,bpm,,    
  134,  1,       195,      4608,   5300224, nof,  0, 75,  0,    
  135,  1,         0,      4608,   5300224, non,  0, 72, 47,  C5
   11,  0,       512,      5120,   5845504,tempo,50,bpm,,    
  136,  1,       512,      5120,   5845504, ctl,  0, 64,127,    
  137,  1,         0,      5120,   5845504, ctl,  0, 64,  0,    
  138,  1,         0,      5120,   5845504, ctl,  0, 64,  0,    
  139,  1,         0,      5120,   5845504, nof,  0, 72,  0,    
  140,  1,         0,      5120,   5845504, nof,  0, 49,  0,    
  141,  1,         0,      5120,   5845504, nof,  0, 57,  0,    
  142,  1,         0,      5120,   5845504, non,  0, 69, 51,  A4
  143,  1,         0,      5120,   5845504, non,  0, 54, 13, F#3
  144,  1,         0,      5120,   5845504, non,  0, 58, 25, A#3
  145,  1,       101,      5221,   5963775, ctl,  0, 64,  0,    
  146,  1,       202,      5423,   6200317, ctl,  0, 64,127,    
   12,  0,       512,      5632,   6445056,tempo,60,bpm,,    
  147,  1,       209,      5632,   6445056, nof,  0, 64,  0,    
  148,  1,         0,      5632,   6445056, non,  0, 63, 34, D#4
  149,  1,       512,      6144,   6944768, nof,  0, 63,  0,    
  150,  1,         0,      6144,   6944768, nof,  0, 69,  0,    
  151,  1,         0,      6144,   6944768, non,  0, 62, 26,  D4
  152,  1,         0,      6144,   6944768, non,  0, 66, 47, F#4
  153,  1,         0,      6144,   6944768, nof,  0, 54,  0,    
  154,  1,         0,      6144,   6944768, nof,  0, 58,  0,    
