UID,trk,dtick,atick,amicro,type,ch,D0,D1,sci_pitch
    0,  0,         0,         0,         0,tsig,1,2,,    
    1,  0,         0,         0,         0,ksig,,,,    
    2,  0,         0,         0,         0,tempo,312,bpm,,    
 1208,  1,         0,         0,         0,name,,,,    
 1209,  1,         0,         0,         0, pgm,  0,  1,  0,    
 1210,  1,         0,         0,         0, ctl,  0, 64,  0,    
10697,  2,         0,         0,         0,name,,,,    
10698,  2,         0,         0,         0, pgm,  1,  1,  0,    
10699,  2,         0,         0,         0, ctl,  1, 64,  0,    
16617,  3,         1,         1,       187,copy,,,,    
16618,  3,         0,         1,       187,eot,,,,    
    3,  0,      1024,      1024,    191488,tsig,4,3,,    
    4,  0,         0,      1024,    191488,tempo,50,bpm,,    
 1211,  1,      1024,      1024,    191488, ctl,  0, 64,  0,    
 1212,  1,         0,      1024,    191488, non,  0, 58, 34, A#3
 1213,  1,         0,      1024,    191488, non,  0, 61, 34, C#4
 1214,  1,         0,      1024,    191488, non,  0, 69, 44,  A4
10700,  2,      1024,      1024,    191488, ctl,  1, 64,127,    
10701,  2,        80,      1104,    285168, ctl,  1, 64,  0,    
10702,  2,        99,      1203,    401097, ctl,  1, 64,127,    
 1215,  1,       341,      1365,    590799, nof,  0, 58,  0,    
 1216,  1,         0,      1365,    590799, nof,  0, 61,  0,    
 1217,  1,         0,      1365,    590799, nof,  0, 69,  0,    
 1218,  1,         0,      1365,    590799, non,  0, 58, 35, A#3
 1219,  1,         0,      1365,    590799, non,  0, 61, 35, C#4
 1220,  1,         0,      1365,    590799, non,  0, 69, 45,  A4
10703,  2,       333,      1536,    791040, non,  1, 52, 44,  E3
    5,  0,       683,      1707,    991281,tempo,66,bpm,,    
 1221,  1,       342,      1707,    991281, nof,  0, 58,  0,    
 1222,  1,         0,      1707,    991281, nof,  0, 61,  0,    
 1223,  1,         0,      1707,    991281, nof,  0, 69,  0,    
 1224,  1,         0,      1707,    991281, non,  0, 58, 30, A#3
 1225,  1,         0,      1707,    991281, non,  0, 61, 30, C#4
 1226,  1,         0,      1707,    991281, non,  0, 69, 40,  A4
    6,  0,       170,      1877,   1142071,tempo,40,bpm,,    
 1227,  1,       170,      1877,   1142071, nof,  0, 58,  0,    
 1228,  1,         0,      1877,   1142071, nof,  0, 61,  0,    
 1229,  1,         0,      1877,   1142071, nof,  0, 69,  0,    
 1230,  1,         0,      1877,   1142071, non,  0, 58, 30, A#3
 1231,  1,         0,      1877,   1142071, non,  0, 61, 30, C#4
 1232,  1,         0,      1877,   1142071, non,  0, 69, 40,  A4
    7,  0,        86,      1963,   1267975,tempo,50,bpm,,    
 1233,  1,        86,      1963,   1267975, non,  0, 69, 64,  A4
 1234,  1,        85,      2048,   1367510, nof,  0, 69,  0,    
 1235,  1,         0,      2048,   1367510, non,  0, 73, 64, C#5
 1236,  1,         0,      2048,   1367510, nof,  0, 58,  0,    
 1237,  1,         0,      2048,   1367510, nof,  0, 61,  0,    
 1238,  1,         0,      2048,   1367510, nof,  0, 69,  0,    
    8,  0,       256,      2219,   1567751,tempo,66,bpm,,    
 1239,  1,       171,      2219,   1567751, non,  0, 58, 30, A#3
 1240,  1,         0,      2219,   1567751, non,  0, 61, 30, C#4
 1241,  1,         0,      2219,   1567751, non,  0, 69, 38,  A4
 1242,  1,       170,      2389,   1718541, nof,  0, 58,  0,    
 1243,  1,         0,      2389,   1718541, nof,  0, 61,  0,    
 1244,  1,         0,      2389,   1718541, nof,  0, 69,  0,    
 1245,  1,         0,      2389,   1718541, non,  0, 58, 31, A#3
 1246,  1,         0,      2389,   1718541, non,  0, 61, 31, C#4
 1247,  1,         0,      2389,   1718541, non,  0, 69, 41,  A4
10704,  2,       853,      2389,   1718541, non,  1, 42, 44, F#2
10705,  2,       171,      2560,   1870218, nof,  1, 52,  0,    
10706,  2,         0,      2560,   1870218, non,  1, 52, 44,  E3
 1248,  1,       342,      2731,   2021895, nof,  0, 58,  0,    
 1249,  1,         0,      2731,   2021895, nof,  0, 61,  0,    
 1250,  1,         0,      2731,   2021895, nof,  0, 69,  0,    
 1251,  1,         0,      2731,   2021895, non,  0, 58, 36, A#3
 1252,  1,         0,      2731,   2021895, non,  0, 61, 36, C#4
 1253,  1,         0,      2731,   2021895, non,  0, 69, 47,  A4
 1254,  1,       170,      2901,   2172685, nof,  0, 58,  0,    
 1255,  1,         0,      2901,   2172685, nof,  0, 61,  0,    
 1256,  1,         0,      2901,   2172685, nof,  0, 69,  0,    
 1257,  1,         0,      2901,   2172685, non,  0, 58, 38, A#3
 1258,  1,         0,      2901,   2172685, non,  0, 61, 38, C#4
 1259,  1,         0,      2901,   2172685, non,  0, 69, 49,  A4
10707,  2,       341,      2901,   2172685, nof,  1, 42,  0,    
10708,  2,         0,      2901,   2172685, non,  1, 42, 44, F#2
    9,  0,       853,      3072,   2324362,tempo,50,bpm,,    
