meas,index,voice,loc,tick,sec,dur,rval,sci_pitch,dmark,dlevel,status,d0,d1,bar,section,bpm,grace,pedal
1,0,0,0,0,0.0,,,,,,,,,1,,,,
1,1,0,0,0,0.0,,,,,,,,,,5918,,,
1,2,0,0,0,0.0,,,,,,,,,,,84,,
1,3,0,0,0,0.0,,,,,,,,,,,84,,
1,5,1,0,,0.0,,8.0,F4,p,11,144,65,11,,,,g,
1,4,0,1,0,0.0,,,,,,176,64,127,,,,,V
1,5,1,0,,0.05,,,,,,144,65,0,,,,,
1,6,1,2,,0.075,,8.0,D#4,mp,14,144,63,14,,,,g,
1,6,1,2,,0.125,,,,,,144,63,0,,,,,
1,7,1,3,,0.15,,8.0,A2,mf-,16,144,45,16,,,,g,
1,7,1,3,,0.2,,,,,,144,45,0,,,,,
1,8,1,4,,0.225,,8.0,F#1,f-,19,144,30,19,,,,g,
1,8,1,4,,0.275,,,,,,144,30,0,,,,,
1,9,1,5,,0.3,,8.0,C#2,f+,21,144,37,21,,,,g,
1,9,1,5,,0.35,,,,,,144,37,0,,,,,
1,10,1,6,,0.375,,8.0,F4,fff,24,144,65,23,,,,g,
1,10,1,6,,0.425,,,,,,144,65,0,,,,,
1,11,1,7,0,0.45,1024,1.0,D#6,ff,22,144,87,22,,,,,
1,12,3,8,0,0.45,1024,1.0,C2,f,20,144,36,20,,,,,
1,13,3,9,0,0.45,1024,1.0,A#2,pp,8,144,46,8,,,,,
1,15,3,11,1024,1.879,1536,1.0,C2,,,,,,,,,,
1,16,3,12,1024,1.879,1024,1.0,A#2,,,,,,,,,,
1,11,1,7,0,2.329,,,,,,144,87,0,,,,,
1,13,3,9,0,3.757,,,,,,144,46,0,,,,,
2,0,0,14,0,4.021,,,,,,,,,2,,,,
2,1,1,15,0,4.021,2048,0.5,C#6,pp,8,144,85,8,,,,,
1,12,3,8,0,4.471,,,,,,144,36,0,,,,,
2,1,1,15,0,6.879,,,,,,144,85,0,,,,,
2,3,1,17,2048,6.879,2048,0.5,E7,f,20,144,100,20,,,,,
2,3,1,17,2048,9.736,,,,,,144,100,0,,,,,
3,0,0,18,0,9.736,,,,,,,,,3,,,,
4,0,0,21,0,13.307,,,,,,,,,4,,,,
4,1,1,22,0,13.307,256,4.0,G#5,ff,22,144,80,22,,,,,
4,1,1,22,0,13.664,,,,,,144,80,0,,,,,
4,3,1,24,256,13.664,2048,0.5,A6,ff+,23,144,93,23,,,,,
4,3,1,24,256,16.296,,,,,,144,93,0,,,,,
4,4,1,25,,16.296,,8.0,A6,ff+,23,144,93,23,,,,g,
4,5,1,26,,16.371,,8.0,C2,ff+,23,144,36,23,,,,g,
4,5,1,26,,16.421,,,,,,144,36,0,,,,,
4,6,1,27,,16.446,,8.0,F#4,ff+,23,144,66,23,,,,g,
4,6,1,27,,16.496,,,,,,144,66,0,,,,,
4,4,1,25,,16.521,,,,,,144,93,0,,,,,
4,7,1,28,2304,16.521,256,4.0,F#4,ff,22,144,66,22,,,,,
4,7,1,28,2304,16.879,,,,,,144,66,0,,,,,
5,0,0,29,0,16.879,,,,,,,,,5,,,,
5,1,1,30,0,16.879,1920,1.0,E7,f,20,144,100,20,,,,,
5,1,1,30,0,19.557,,,,,,144,100,0,,,,,
5,3,1,32,1920,19.557,128,8.0,G#6,p,11,144,92,11,,,,,
5,4,3,33,1920,19.557,128,8.0,A2,pp,8,144,45,8,,,,,
5,3,1,32,1920,19.736,,,,,,144,92,0,,,,,
6,0,0,34,0,19.736,,,,,,,,,6,,,,
6,2,3,36,0,19.736,512,2.0,A2,,,,,,,,,,
6,3,1,37,192,20.004,64,16.0,G5,p,11,144,79,11,,,,,
6,4,1,38,256,20.093,256,4.0,G5,,,,,,,,,,
5,4,3,33,1920,20.45,,,,,,144,45,0,,,,,
6,5,1,39,512,20.45,2048,0.5,G5,,,,,,,,,,
6,6,3,40,512,20.45,2048,0.5,A#2,pp,8,144,46,8,,,,,
6,7,1,41,,22.857,,8.0,C2,p,11,144,36,11,,,,g,
6,7,1,41,,22.907,,,,,,144,36,0,,,,,
6,8,1,42,,22.932,,8.0,A5,mp-,13,144,81,13,,,,g,
6,8,1,42,,22.982,,,,,,144,81,0,,,,,
6,9,1,43,,23.007,,8.0,E6,mp+,15,144,88,15,,,,g,
6,9,1,43,,23.057,,,,,,144,88,0,,,,,
6,10,1,44,,23.082,,8.0,F#3,mf+,18,144,54,18,,,,g,
6,10,1,44,,23.132,,,,,,144,54,0,,,,,
6,11,1,45,,23.157,,8.0,G#5,f,20,144,80,20,,,,g,
6,11,1,45,,23.207,,,,,,144,80,0,,,,,
7,2,0,46,0,23.207,,,,,,176,64,0,,,,,^
6,12,1,47,,23.232,,8.0,A5,ff,22,144,81,22,,,,g,
6,12,1,47,,23.282,,,,,,144,81,0,,,,,
6,3,1,37,192,23.307,,,,,,144,79,0,,,,,
6,6,3,40,512,23.307,,,,,,144,46,0,,,,,
7,0,0,48,0,23.307,,,,,,,,,7,,,,
7,1,0,49,0,23.307,,,,,,,,,,5919,,,
7,9,1,50,0,23.307,2048,0.5,D3,ppp,5,144,50,5,,,,,
7,10,1,51,0,23.307,2048,0.5,E3,ppp,5,144,52,5,,,,,
7,11,3,52,0,23.307,3072,0.5,C1,ff,22,144,24,22,,,,,
7,2,0,53,0,23.507,,,,,,176,64,127,,,,,V
7,12,1,54,2048,26.164,256,4.0,D3,,,,,,,,,,
7,13,1,55,2048,26.164,256,4.0,E3,,,,,,,,,,
7,16,0,56,2314,26.385,,,,,,176,64,0,,,,,^
7,9,1,50,0,26.521,,,,,,144,50,0,,,,,
7,10,1,51,0,26.521,,,,,,144,52,0,,,,,
7,14,1,57,2304,26.521,768,2.0,C6,ppp,5,144,84,5,,,,,
7,15,1,58,2304,26.521,512,2.0,F6,ppp,5,144,89,5,,,,,
7,16,0,59,2314,26.685,,,,,,176,64,127,,,,,V
7,15,1,58,2304,27.236,,,,,,144,89,0,,,,,
8,0,0,60,0,27.593,,,,,,,,,8,,,,
8,2,3,62,0,27.593,3072,0.5,C1,,,,,,,,,,
8,3,3,63,0,27.593,2048,0.5,A3,p,11,144,57,11,,,,,
7,14,1,57,2304,27.593,,,,,,144,84,0,,,,,
8,4,0,64,42,27.651,,,,,,176,64,0,,,,,^
8,6,1,65,341,28.069,171,4.0,C#6,ppp,5,144,85,5,,,,,
8,5,0,66,341,28.069,,,,,,176,64,127,,,,,V
8,7,1,67,512,28.307,512,2.0,C#6,,,,,,,,,,
8,6,1,65,341,29.021,,,,,,144,85,0,,,,,
