meas,index,voice,loc,tick,sec,dur,rval,dot_cnt,sci_pitch,dmark,dlevel,status,d0,d1,bar,section,bpm,grace,pedal,dyn,even,tempo
,0,,,0,0.0,,,,,,,176,67,24,,,,,,,,
,1,,,0,0.002604,,,,,,,176,67,26,,,,,,,,
,2,,,0,0.015624,,,,,,,176,67,25,,,,,,,,
,3,,,0,0.023436,,,,,,,176,67,27,,,,,,,,
,4,,,0,0.114576,,,,,,,176,67,28,,,,,,,,
,5,,,0,0.122388,,,,,,,176,67,27,,,,,,,,
,6,,,0,0.132804,,,,,,,176,67,33,,,,,,,,
,7,,,0,0.18228,,,,,,,176,67,34,,,,,,,,
,8,,,0,0.213528,,,,,,,176,67,33,,,,,,,,
,9,,,0,0.23436,,,,,,,176,67,34,,,,,,,,
,10,,,0,0.242172,,,,,,,176,67,35,,,,,,,,
,11,,,0,0.252588,,,,,,,176,67,34,,,,,,,,
,12,,,0,0.263004,,,,,,,176,67,35,,,,,,,,
,13,,,0,0.294252,,,,,,,176,64,3,,,,,,,,
,14,,,0,0.304668,,,,,,,176,64,4,,,,,,,,
,15,,,0,0.304668,,,,,,,176,67,39,,,,,,,,
,16,,,0,0.31248,,,,,,,176,64,8,,,,,,,,
,17,,,0,0.315084,,,,,,,176,67,40,,,,,,,,
,18,,,0,0.322896,,,,,,,176,64,11,,,,,,,,
,19,,,0,0.333312,,,,,,,176,64,13,,,,,,,,
,20,,,0,0.343728,,,,,,,176,64,19,,,,,,,,
,21,,,0,0.382788,,,,,,,176,67,42,,,,,,,,
,22,,,0,0.393204,,,,,,,176,67,45,,,,,,,,
,23,,,0,0.40362,,,,,,,176,64,21,,,,,,,,
,24,,,0,0.40362,,,,,,,176,67,44,,,,,,,,
,25,,,0,0.41664,,,,,,,176,64,20,,,,,,,,
,26,,,0,0.424452,,,,,,,176,64,22,,,,,,,,
,27,,,0,0.424452,,,,,,,176,67,45,,,,,,,,
,28,,,0,0.432264,,,,,,,176,64,20,,,,,,,,
,29,,,0,0.434868,,,,,,,176,67,44,,,,,,,,
,30,,,0,0.44268,,,,,,,176,64,22,,,,,,,,
,31,,,0,0.445284,,,,,,,176,67,45,,,,,,,,
,32,,,0,0.453096,,,,,,,176,64,21,,,,,,,,
,33,,,0,0.4557,,,,,,,176,67,44,,,,,,,,
,34,,,0,0.463512,,,,,,,176,64,20,,,,,,,,
,35,,,0,0.473928,,,,,,,176,67,43,,,,,,,,
,36,,,0,0.484344,,,,,,,176,64,23,,,,,,,,
,37,,,0,0.484344,,,,,,,176,67,46,,,,,,,,
,38,,,0,0.49476,,,,,,,176,64,21,,,,,,,,
,39,,,0,0.49476,,,,,,,176,67,44,,,,,,,,
,40,,,0,0.512988,,,,,,,176,64,20,,,,,,,,
,41,,,0,0.523404,,,,,,,176,64,19,,,,,,,,
,42,,,0,0.523404,,,,,,,176,67,41,,,,,,,,
,43,,,0,0.53382,,,,,,,176,67,40,,,,,,,,
,44,,,0,0.593712,,,,,,,176,64,12,,,,,,,,
,45,,,0,0.622356,,,,,,,176,64,11,,,,,,,,
,46,,,0,0.632772,,,,,,,176,64,8,,,,,,,,
,47,,,0,0.653604,,,,,,,176,64,7,,,,,,,,
,48,,,0,0.682248,,,,,,,176,64,4,,,,,,,,
,49,,,0,0.692664,,,,,,,176,64,6,,,,,,,,
,50,,,0,0.70308,,,,,,,176,64,4,,,,,,,,
,51,,,0,0.74214,,,,,,,176,64,3,,,,,,,,
,52,,,0,0.773388,,,,,,,176,64,4,,,,,,,,
,53,,,0,0.783804,,,,,,,176,64,3,,,,,,,,
,54,,,0,0.79422,,,,,,,176,64,4,,,,,,,,
,55,,,0,0.822864,,,,,,,176,64,5,,,,,,,,
,56,,,0,0.83328,,,,,,,176,64,4,,,,,,,,
,57,,,0,0.843696,,,,,,,176,64,7,,,,,,,,
,58,,,0,0.854112,,,,,,,176,64,5,,,,,,,,
,59,,,0,0.864528,,,,,,,176,64,7,,,,,,,,
,60,,,0,0.882756,,,,,,,176,64,8,,,,,,,,
,61,,,0,0.903588,,,,,,,176,64,11,,,,,,,,
,62,,,0,0.973896,,,,,,,176,64,12,,,,,,,,
,63,,,0,0.984312,,,,,,,176,64,11,,,,,,,,
,64,,,0,1.00254,,,,,,,176,64,12,,,,,,,,
,65,,,0,1.023372,,,,,,,176,64,11,,,,,,,,
,66,,,0,1.065036,,,,,,,176,64,12,,,,,,,,
,67,,,0,1.083264,,,,,,,176,64,11,,,,,,,,
,68,,,0,1.09368,,,,,,,176,67,36,,,,,,,,
,69,,,0,1.104096,,,,,,,176,67,34,,,,,,,,
,70,,,0,1.114512,,,,,,,176,64,12,,,,,,,,
,71,,,0,1.114512,,,,,,,176,67,35,,,,,,,,
,72,,,0,1.124928,,,,,,,176,64,11,,,,,,,,
,73,,,0,1.14576,,,,,,,176,64,12,,,,,,,,
,74,,,0,1.14576,,,,,,,176,67,33,,,,,,,,
,75,,,0,1.153572,,,,,,,176,64,11,,,,,,,,
,76,,,0,1.174404,,,,,,,176,64,13,,,,,,,,
,77,,,0,1.182216,,,,,,,176,64,12,,,,,,,,
,78,,,0,1.195236,,,,,,,176,64,15,,,,,,,,
,79,,,0,1.203048,,,,,,,176,64,17,,,,,,,,
,80,,,0,1.213464,,,,,,,176,64,18,,,,,,,,
,81,,,0,1.234296,,,,,,,176,64,19,,,,,,,,
,82,,,0,1.273356,,,,,,,176,64,20,,,,,,,,
,83,,,0,1.283772,,,,,,,176,64,19,,,,,,,,
,84,,,0,1.283772,,,,,,,176,67,27,,,,,,,,
,85,,,0,1.364496,,,,,,,176,67,25,,,,,,,,
,86,,,0,1.372308,,,,,,,176,64,20,,,,,,,,
,87,,,0,1.382724,,,,,,,176,64,19,,,,,,,,
,88,,,0,1.39314,,,,,,,176,67,24,,,,,,,,
,89,,,0,1.403556,,,,,,,176,67,20,,,,,,,,
,90,,,0,1.413972,,,,,,,176,67,21,,,,,,,,
,91,,,0,1.424388,,,,,,,176,67,20,,,,,,,,
,92,,,0,1.473864,,,,,,,176,64,20,,,,,,,,
,93,,,0,1.48428,,,,,,,176,64,19,,,,,,,,
,94,,,0,1.544172,,,,,,,176,64,20,,,,,,,,
,95,,,0,1.554588,,,,,,,176,64,19,,,,,,,,
,96,,,0,1.583232,,,,,,,176,67,21,,,,,,,,
,97,,,0,1.593648,,,,,,,176,67,22,,,,,,,,
,98,,,0,1.604064,,,,,,,176,67,25,,,,,,,,
,99,,,0,1.61448,,,,,,,176,64,20,,,,,,,,
,100,,,0,1.61448,,,,,,,176,67,26,,,,,,,,
,101,,,0,1.622292,,,,,,,176,64,19,,,,,,,,
,102,,,0,1.624896,,,,,,,176,67,27,,,,,,,,
,103,,,0,1.632708,,,,,,,176,67,29,,,,,,,,
,104,,,0,1.643124,,,,,,,176,67,33,,,,,,,,
,105,,,0,1.663956,,,,,,,176,67,34,,,,,,,,
,106,,,0,1.682184,,,,,,,176,67,37,,,,,,,,
,107,,,0,1.6926,,,,,,,176,67,36,,,,,,,,
,108,,,0,1.703016,,,,,,,176,67,40,,,,,,,,
,109,,,0,1.742076,,,,,,,176,67,43,,,,,,,,
,110,,,0,1.752492,,,,,,,176,67,47,,,,,,,,
,111,,,0,1.762908,,,,,,,176,64,20,,,,,,,,
,112,,,0,1.765512,,,,,,,176,67,52,,,,,,,,
,113,,,0,1.773324,,,,,,,176,64,19,,,,,,,,
,114,,,0,1.773324,,,,,,,176,67,54,,,,,,,,
,115,,,0,1.78374,,,,,,,176,67,61,,,,,,,,
,116,,,0,1.794156,,,,,,,176,64,16,,,,,,,,
,117,,,0,1.794156,,,,,,,176,67,71,,,,,,,,
,118,,,0,1.804572,,,,,,,176,64,14,,,,,,,,
,119,,,0,1.804572,,,,,,,176,67,79,,,,,,,,
,120,,,0,1.812384,,,,,,,176,64,11,,,,,,,,
,121,,,0,1.814988,,,,,,,176,67,90,,,,,,,,
,122,,,0,1.8228,,,,,,,176,64,12,,,,,,,,
,123,,,0,1.825404,,,,,,,176,67,100,,,,,,,,
,124,,,0,1.833216,,,,,,,176,64,11,,,,,,,,
,125,,,0,1.833216,,,,,,,176,67,111,,,,,,,,
